date,SPX,VIX,VVIX,Skew,Realized Vol
2006-04-24,1308.11,11.75,63.42,128.77,8.75
2006-04-25,1301.74,11.75,61.33,129.66,8.9
2006-04-26,1305.41,11.76,61.33,126.14,8.94
2006-04-27,1309.72,11.84,61.33,129.21,8.75
2006-04-28,1310.61,11.59,61.33,125.2,8.4
2006-05-01,1305.19,12.54,61.96,129.67,8.49
2006-05-02,1313.21,11.99,61.96,124.01,8.62
2006-05-03,1307.85,11.99,61.96,127.46,8.7
2006-05-04,1312.25,11.86,61.96,125.86,8.54
2006-05-05,1325.76,11.62,61.96,128.06,9.16
2006-05-08,1324.66,12.0,61.96,125.25,9.14
2006-05-09,1325.14,11.99,61.96,123.02,8.43
2006-05-10,1322.85,11.78,61.96,119.62,8.44
2006-05-11,1305.92,12.49,61.96,120.68,9.12
2006-05-12,1291.24,14.19,61.96,123.21,9.93
2006-05-15,1294.5,13.57,61.96,121.86,9.97
2006-05-16,1292.08,13.35,61.96,130.15,9.96
2006-05-17,1270.32,16.26,61.96,121.87,10.08
2006-05-18,1261.81,16.99,61.96,123.09,10.32
2006-05-19,1267.03,17.18,61.96,136.93,10.42
2006-05-22,1262.07,17.72,91.76,126.15,10.47
2006-05-23,1256.58,18.26,88.66,125.15,10.57
2006-05-24,1258.57,17.36,88.63,127.4,10.44
2006-05-25,1272.88,15.5,82.64,132.35,11.2
2006-05-26,1280.16,14.26,72.5,128.5,11.28
2006-05-26,1280.16,14.26,72.5,128.5,11.28
2006-05-30,1259.84,18.66,82.14,122.67,12.43
2006-05-31,1270.09,16.44,77.44,121.97,12.59
2006-06-01,1285.71,14.52,74.08,128.02,13.11
2006-06-02,1288.22,14.32,70.27,127.02,13.06
2006-06-05,1265.29,16.65,77.38,120.42,14.28
2006-06-06,1263.85,17.34,78.66,121.79,13.84
2006-06-07,1256.15,17.8,73.86,120.81,14.0
2006-06-08,1257.93,18.35,78.12,120.19,14.01
2006-06-09,1252.3,18.12,79.87,118.74,14.12
2006-06-12,1236.4,20.96,83.52,121.27,14.07
2006-06-13,1223.69,23.81,93.2,121.55,13.97
2006-06-14,1230.04,21.46,102.11,124.24,14.06
2006-06-15,1256.16,15.9,99.13,131.6,15.79
2006-06-16,1251.54,17.25,106.93,128.32,14.6
2006-06-19,1240.14,17.83,102.56,125.31,14.77
2006-06-20,1240.12,16.69,94.76,126.54,14.69
2006-06-21,1252.2,15.52,92.4,127.36,14.97
2006-06-22,1245.6,15.88,91.85,125.08,14.99
2006-06-23,1244.5,15.89,86.81,122.55,14.99
2006-06-26,1250.56,15.62,90.71,124.87,14.48
2006-06-27,1239.2,16.4,95.12,120.3,14.69
2006-06-28,1246.0,15.79,96.44,118.99,13.82
2006-06-29,1272.87,13.03,96.63,124.11,15.46
2006-06-30,1270.2,13.08,92.1,118.28,14.91
2006-07-03,1280.19,13.05,89.13,120.93,15.06
2006-07-03,1280.19,13.05,89.13,120.93,15.06
2006-07-05,1270.91,14.15,91.98,120.22,14.04
2006-07-06,1274.08,13.65,92.88,116.81,14.04
2006-07-07,1265.48,13.97,91.46,114.97,14.05
2006-07-10,1267.34,14.02,93.52,115.89,14.06
2006-07-11,1272.52,13.14,91.99,119.17,13.99
2006-07-12,1258.6,14.49,91.99,115.97,13.85
2006-07-13,1242.29,17.79,91.99,115.4,14.15
2006-07-14,1236.2,18.05,91.99,117.48,14.12
2006-07-17,1234.49,18.64,91.99,118.56,12.16
2006-07-18,1236.86,17.74,91.99,122.9,12.15
2006-07-19,1259.81,15.55,91.99,121.58,13.28
2006-07-20,1249.13,16.21,91.99,118.55,13.57
2006-07-21,1240.29,17.4,91.99,118.33,13.4
2006-07-24,1260.91,14.98,99.61,122.03,14.37
2006-07-25,1268.88,14.85,94.97,120.53,14.53
2006-07-26,1268.4,14.62,89.23,120.86,14.46
2006-07-27,1263.2,14.94,95.29,119.78,14.21
2006-07-28,1278.55,14.33,93.16,121.4,14.65
2006-07-31,1276.66,14.95,92.79,121.64,12.68
2006-08-01,1270.92,15.05,92.67,119.49,12.75
2006-08-02,1278.55,14.34,91.34,117.98,12.67
2006-08-03,1280.27,14.46,89.24,116.79,12.48
2006-08-04,1279.36,14.34,90.68,117.54,12.47
2006-08-07,1275.77,15.23,89.58,117.02,12.29
2006-08-08,1271.48,15.23,88.09,118.18,12.33
2006-08-09,1265.95,15.2,88.09,116.27,12.37
2006-08-10,1271.81,14.46,88.09,118.31,11.87
2006-08-11,1266.74,14.3,88.09,118.09,11.02
2006-08-14,1268.21,14.26,88.09,118.24,10.92
2006-08-15,1285.58,13.42,88.09,118.88,11.78
2006-08-16,1295.43,12.41,57.01,120.17,12.06
2006-08-17,1297.48,12.24,57.01,121.42,10.34
2006-08-18,1302.3,11.64,57.01,125.35,10.03
2006-08-21,1297.52,12.22,80.68,125.66,9.83
2006-08-22,1298.82,12.19,78.75,124.0,8.16
2006-08-23,1292.99,12.4,81.15,124.2,8.07
2006-08-24,1296.06,12.4,79.7,123.75,8.11
2006-08-25,1295.09,12.31,81.94,125.01,7.95
2006-08-28,1301.78,12.18,79.47,122.64,7.14
2006-08-29,1304.28,12.28,81.8,126.53,7.17
2006-08-30,1304.27,12.22,80.77,125.52,7.03
2006-08-31,1303.82,12.31,79.84,123.22,6.83
2006-09-01,1311.01,11.96,77.19,124.59,7.05
2006-09-01,1311.01,11.96,77.19,124.59,7.05
2006-09-05,1313.25,12.63,80.18,124.31,7.1
2006-09-06,1300.26,13.74,82.96,123.09,7.86
2006-09-07,1294.02,13.88,86.18,121.66,7.94
2006-09-08,1298.92,13.16,83.7,124.34,7.88
2006-09-11,1299.54,12.99,85.78,125.99,7.74
2006-09-12,1313.11,11.92,80.99,126.42,8.41
2006-09-13,1318.07,11.18,81.55,120.44,8.48
2006-09-14,1316.28,11.55,81.93,119.47,7.23
2006-09-15,1319.87,11.76,59.52,135.25,6.8
2006-09-18,1321.18,11.78,80.97,127.35,6.77
2006-09-19,1318.31,11.98,81.77,125.03,6.73
2006-09-20,1325.18,11.39,80.83,122.71,6.67
2006-09-21,1318.03,12.25,85.95,119.68,6.94
2006-09-22,1314.78,12.59,85.74,118.86,6.79
2006-09-25,1326.37,12.12,82.01,120.75,7.49
2006-09-26,1336.34,11.53,81.59,121.64,7.89
2006-09-27,1336.59,11.58,81.08,118.43,7.69
2006-09-28,1339.15,11.72,84.74,118.21,7.67
2006-09-29,1335.85,11.98,84.31,120.09,7.69
2006-10-02,1331.32,12.57,85.46,119.8,7.76
2006-10-03,1334.11,12.24,86.57,116.93,7.59
2006-10-04,1350.22,11.86,82.5,118.15,8.34
2006-10-05,1353.22,11.98,87.5,115.48,7.64
2006-10-06,1349.58,11.56,85.63,117.34,7.5
2006-10-09,1350.66,11.68,84.76,116.19,7.41
2006-10-10,1353.42,11.52,83.62,118.43,7.44
2006-10-11,1349.95,11.62,88.4,117.16,6.6
2006-10-12,1362.83,11.09,86.87,117.44,7.25
2006-10-13,1365.62,10.75,86.61,118.74,7.26
2006-10-16,1369.05,11.09,82.29,116.54,7.27
2006-10-17,1364.05,11.73,66.99,117.7,7.35
2006-10-18,1365.96,11.34,79.1,114.96,7.29
2006-10-19,1366.96,10.9,77.71,116.8,7.31
2006-10-20,1368.6,10.63,78.6,117.06,7.05
2006-10-23,1377.02,11.08,84.73,115.28,7.34
2006-10-24,1377.38,10.78,87.39,114.68,6.57
2006-10-25,1382.22,10.66,85.9,113.72,6.17
2006-10-26,1389.08,10.56,81.6,112.97,6.38
2006-10-27,1377.34,10.8,82.71,111.46,6.85
2006-10-30,1377.93,11.2,80.16,114.11,6.82
2006-10-31,1377.94,11.1,76.4,111.48,6.75
2006-11-01,1367.81,11.51,78.89,112.36,7.06
2006-11-02,1367.34,11.42,77.08,113.08,6.11
2006-11-03,1364.3,11.16,75.19,112.37,6.08
2006-11-06,1379.78,11.16,70.46,116.76,7.13
2006-11-07,1382.84,11.09,67.5,115.72,7.16
2006-11-08,1385.72,10.75,62.08,115.86,7.16
2006-11-09,1378.33,11.01,60.42,113.19,7.28
2006-11-10,1380.9,10.79,61.06,113.87,6.51
2006-11-13,1384.42,10.86,36.14,113.32,6.58
2006-11-14,1393.22,10.5,60.77,113.75,6.85
2006-11-15,1396.57,10.31,58.58,111.63,6.8
2006-11-16,1399.76,10.16,62.48,110.87,6.83
2006-11-17,1401.2,10.05,64.3,117.73,6.82
2006-11-20,1400.5,9.97,65.98,119.02,6.82
2006-11-21,1402.81,9.9,65.3,118.53,6.44
2006-11-22,1406.09,10.14,63.62,120.86,6.48
2006-11-22,1406.09,10.14,63.62,120.86,6.48
2006-11-24,1400.95,10.73,66.48,118.47,6.52
2006-11-27,1381.9,12.3,71.6,117.96,7.83
2006-11-28,1386.72,11.62,66.56,121.89,7.54
2006-11-29,1399.48,10.83,60.3,125.38,8.13
2006-11-30,1400.63,10.91,61.39,124.0,8.13
2006-12-01,1396.71,11.66,62.33,126.2,7.9
2006-12-04,1409.12,11.23,62.11,124.81,8.5
2006-12-05,1414.76,11.27,65.87,127.14,8.61
2006-12-06,1412.9,11.33,66.49,125.61,7.74
2006-12-07,1407.29,12.67,68.65,122.86,7.82
2006-12-08,1409.84,12.07,71.34,124.71,7.8
2006-12-11,1413.04,10.71,72.84,120.65,7.68
2006-12-12,1411.56,10.65,74.78,124.46,7.68
2006-12-13,1413.21,10.18,79.06,125.76,7.61
2006-12-14,1425.49,9.97,82.57,132.31,7.84
2006-12-15,1427.09,10.05,84.63,129.81,7.81
2006-12-18,1422.48,10.6,84.26,128.93,7.83
2006-12-19,1425.55,10.3,78.91,129.55,7.85
2006-12-20,1423.53,10.26,84.68,126.28,7.87
2006-12-21,1418.3,10.53,83.94,122.05,7.98
2006-12-22,1410.76,11.36,83.41,121.5,8.13
2006-12-22,1410.76,11.36,83.41,121.5,8.13
2006-12-26,1416.9,11.26,85.28,123.4,8.18
2006-12-27,1426.84,10.64,83.01,123.48,7.14
2006-12-28,1424.73,10.99,88.72,121.7,7.07
2006-12-29,1418.3,11.56,88.16,121.25,6.57
2006-12-29,1418.3,11.56,88.16,121.25,6.57
2006-12-29,1418.3,11.56,88.16,121.25,6.57
2007-01-03,1416.6,12.04,87.63,118.77,6.57
2007-01-04,1418.34,11.51,88.19,118.78,6.48
2007-01-05,1409.71,12.14,90.17,117.27,6.01
2007-01-08,1412.84,12.0,92.04,119.44,5.86
2007-01-09,1412.11,11.91,92.76,116.28,5.85
2007-01-10,1414.85,11.47,93.78,117.79,5.7
2007-01-11,1423.82,10.87,85.97,119.13,6.14
2007-01-12,1430.73,10.15,85.18,119.7,6.27
2007-01-12,1430.73,10.15,85.18,119.7,6.27
2007-01-16,1431.9,10.74,85.3,120.78,6.27
2007-01-17,1430.62,10.59,84.93,120.95,6.27
2007-01-18,1426.37,10.85,83.66,127.7,5.71
2007-01-19,1430.5,10.4,82.49,127.24,5.82
2007-01-22,1422.95,10.77,84.43,121.13,5.96
2007-01-23,1427.99,10.34,81.48,122.77,6.01
2007-01-24,1440.13,9.89,77.51,124.34,6.65
2007-01-25,1423.9,11.22,80.45,119.49,7.53
2007-01-26,1422.18,11.13,81.36,120.26,7.35
2007-01-29,1420.62,11.45,81.68,117.83,7.2
2007-01-30,1428.82,10.96,78.9,119.53,7.05
2007-01-31,1438.24,10.42,77.28,118.58,7.4
2007-02-01,1445.94,10.31,73.5,119.57,7.44
2007-02-02,1448.39,10.08,72.44,121.7,7.46
2007-02-05,1446.99,10.55,70.29,122.48,7.45
2007-02-06,1448.0,10.65,68.55,122.78,7.18
2007-02-07,1450.02,10.32,70.32,122.94,7.14
2007-02-08,1448.31,10.44,73.18,122.69,7.14
2007-02-09,1438.06,11.1,74.39,121.02,7.52
2007-02-12,1433.37,11.61,79.12,119.81,7.22
2007-02-13,1444.26,10.34,75.72,125.32,7.48
2007-02-14,1455.3,10.23,74.0,123.09,7.87
2007-02-15,1456.81,10.22,70.34,120.55,7.89
2007-02-16,1455.54,10.02,70.74,121.01,7.79
2007-02-16,1455.54,10.02,70.74,121.01,7.79
2007-02-20,1459.68,10.24,65.87,120.99,7.79
2007-02-21,1457.63,10.2,67.37,119.1,7.67
2007-02-22,1456.38,10.18,66.05,119.58,7.6
2007-02-23,1451.19,10.58,70.71,117.71,7.13
2007-02-26,1449.37,11.15,70.33,117.81,6.04
2007-02-27,1399.04,18.31,110.42,112.5,13.72
2007-02-28,1406.82,15.42,91.64,121.36,13.81
2007-03-01,1403.17,15.82,99.47,120.99,13.71
2007-03-02,1387.17,18.61,104.17,118.76,14.0
2007-03-05,1374.12,19.63,101.2,118.07,14.22
2007-03-06,1395.41,15.96,93.65,121.14,14.93
2007-03-07,1391.97,15.24,94.41,119.49,14.95
2007-03-08,1401.89,14.29,93.97,121.08,15.13
2007-03-09,1402.85,14.09,91.82,121.96,15.13
2007-03-12,1406.6,13.99,90.02,126.35,15.17
2007-03-13,1377.95,18.13,94.53,130.04,16.62
2007-03-14,1387.17,17.27,98.08,134.25,16.75
2007-03-15,1392.28,16.43,99.55,136.15,16.6
2007-03-16,1386.95,16.79,102.74,128.3,16.47
2007-03-19,1402.06,14.59,93.9,122.84,16.88
2007-03-20,1410.94,13.27,89.55,127.35,17.01
2007-03-21,1435.04,12.19,94.13,130.07,17.87
2007-03-22,1434.54,12.93,95.52,124.99,17.86
2007-03-23,1436.11,12.95,96.37,125.64,17.86
2007-03-26,1437.5,13.16,95.95,126.45,17.82
2007-03-27,1428.61,13.48,101.0,122.89,17.94
2007-03-28,1417.23,14.98,104.79,121.28,13.35
2007-03-29,1422.53,15.14,102.31,121.4,13.31
2007-03-30,1420.86,14.64,99.78,120.89,13.3
2007-04-02,1424.55,14.53,98.92,122.62,12.81
2007-04-03,1437.77,13.46,94.98,124.18,12.76
2007-04-04,1439.37,13.24,96.12,123.94,11.9
2007-04-05,1443.76,13.23,93.6,125.4,11.94
2007-04-05,1443.76,13.23,93.6,125.4,11.94
2007-04-09,1444.61,13.14,92.3,125.32,11.72
2007-04-10,1448.39,12.68,87.37,125.94,11.74
2007-04-11,1438.87,13.49,93.47,127.03,11.91
2007-04-12,1447.8,12.71,91.38,126.92,9.72
2007-04-13,1452.85,12.2,88.71,128.62,9.52
2007-04-16,1468.47,11.98,83.98,125.49,10.12
2007-04-17,1471.48,12.14,83.68,130.62,10.06
2007-04-18,1472.5,12.42,80.59,130.35,9.35
2007-04-19,1470.73,12.54,77.91,126.11,9.1
2007-04-20,1484.35,12.07,79.18,128.37,7.93
2007-04-23,1480.93,13.04,79.33,123.55,7.95
2007-04-24,1480.41,13.12,77.83,124.17,7.94
2007-04-25,1495.42,13.21,80.79,122.68,8.55
2007-04-26,1494.25,12.79,81.67,123.25,8.3
2007-04-27,1494.07,12.45,80.66,124.73,7.78
2007-04-30,1482.37,14.22,85.33,123.37,8.1
2007-05-01,1486.3,13.51,81.28,125.45,8.13
2007-05-02,1495.92,13.08,82.59,123.14,8.38
2007-05-03,1502.39,13.09,78.81,123.03,7.99
2007-05-04,1505.62,12.91,77.1,123.11,8.03
2007-05-07,1509.48,13.15,78.51,123.3,7.99
2007-05-08,1507.72,13.21,79.9,120.74,7.98
2007-05-09,1512.58,12.88,85.89,121.24,8.01
2007-05-10,1491.47,13.6,83.58,119.5,9.0
2007-05-11,1505.85,12.95,79.47,121.66,9.36
2007-05-14,1503.15,13.96,82.02,119.78,9.3
2007-05-15,1501.19,14.01,76.68,121.17,8.58
2007-05-16,1514.14,13.5,70.26,123.4,8.98
2007-05-17,1512.75,13.51,72.94,123.34,8.98
2007-05-18,1522.75,12.76,75.43,126.75,9.29
2007-05-21,1525.1,13.3,71.82,126.22,8.66
2007-05-22,1524.12,13.06,72.36,124.74,8.64
2007-05-23,1522.28,13.24,71.44,123.17,8.67
2007-05-24,1507.51,14.08,74.36,121.71,8.68
2007-05-25,1515.73,13.34,72.42,124.0,8.85
2007-05-25,1515.73,13.34,72.42,124.0,8.85
2007-05-29,1518.11,13.53,72.48,124.05,8.88
2007-05-30,1530.23,12.83,71.61,124.69,8.87
2007-05-31,1530.62,13.05,72.2,123.84,8.84
2007-06-01,1536.34,12.78,70.19,124.23,8.63
2007-06-04,1539.18,13.29,70.74,122.26,8.55
2007-06-05,1530.95,13.63,69.24,122.93,8.65
2007-06-06,1517.38,14.87,72.06,119.29,9.13
2007-06-07,1490.72,17.06,75.83,117.52,11.24
2007-06-08,1507.67,14.84,70.69,122.08,11.84
2007-06-11,1509.12,14.71,68.73,119.71,10.88
2007-06-12,1493.0,16.67,69.48,119.51,10.97
2007-06-13,1515.67,14.73,68.81,121.59,12.07
2007-06-14,1522.97,13.64,63.52,122.42,12.18
2007-06-15,1532.91,13.94,64.03,121.63,12.12
2007-06-18,1531.05,13.42,66.76,120.46,12.11
2007-06-19,1533.7,12.85,67.24,123.38,11.88
2007-06-20,1512.84,14.67,76.8,117.56,12.9
2007-06-21,1522.19,14.21,74.76,117.97,13.09
2007-06-22,1502.56,15.75,78.35,116.52,13.74
2007-06-25,1497.74,16.65,78.07,116.87,13.44
2007-06-26,1492.89,18.89,82.01,116.03,13.37
2007-06-27,1506.34,15.53,78.48,118.01,13.67
2007-06-28,1505.71,15.54,76.04,117.47,13.42
2007-06-29,1503.35,16.23,76.94,115.72,13.46
2007-07-02,1519.43,15.4,75.56,119.68,14.04
2007-07-03,1524.87,14.92,74.63,119.87,14.07
2007-07-03,1524.87,14.92,74.63,119.87,14.07
2007-07-05,1525.4,15.48,75.86,120.59,13.99
2007-07-06,1530.44,14.72,74.85,120.85,13.69
2007-07-09,1531.85,15.16,73.05,120.63,12.02
2007-07-10,1510.12,17.57,79.99,117.48,12.39
2007-07-11,1518.76,16.64,81.55,121.69,12.53
2007-07-12,1547.7,15.54,76.6,119.99,13.61
2007-07-13,1552.5,15.15,76.65,119.59,12.67
2007-07-16,1549.52,15.59,72.56,117.88,12.57
2007-07-17,1549.37,15.63,72.41,117.99,12.33
2007-07-18,1546.17,16.0,73.57,120.35,12.36
2007-07-19,1553.08,15.23,72.02,119.24,12.42
2007-07-20,1534.1,16.95,73.76,117.4,12.07
2007-07-23,1541.57,16.81,74.56,118.84,12.0
2007-07-24,1511.04,18.55,79.32,116.13,13.0
2007-07-25,1518.09,18.1,75.31,116.39,12.97
2007-07-26,1482.66,20.74,87.38,116.27,14.81
2007-07-27,1458.95,24.17,97.23,113.23,15.99
2007-07-30,1473.91,20.87,97.45,115.42,16.4
2007-07-31,1455.27,23.52,104.08,115.53,16.93
2007-08-01,1465.81,23.67,108.86,119.94,16.62
2007-08-02,1472.2,21.22,100.8,119.05,16.62
2007-08-03,1433.06,25.16,104.05,117.3,18.98
2007-08-06,1467.67,22.94,95.22,118.81,20.64
2007-08-07,1476.71,21.56,85.96,116.92,20.76
2007-08-08,1497.49,21.45,82.52,120.92,20.67
2007-08-09,1453.09,26.48,99.87,115.3,22.59
2007-08-10,1453.64,28.3,108.91,116.04,21.66
2007-08-13,1452.92,26.57,108.57,119.5,21.64
2007-08-14,1426.54,27.68,114.96,115.01,22.44
2007-08-15,1406.7,30.67,121.67,118.3,23.12
2007-08-16,1411.27,30.83,142.99,116.58,23.19
2007-08-17,1445.94,29.99,133.87,126.7,24.56
2007-08-20,1445.55,26.33,125.04,117.87,24.22
2007-08-21,1447.12,25.25,122.6,117.76,24.16
2007-08-22,1464.07,22.89,117.47,120.53,23.52
2007-08-23,1462.5,22.62,117.42,121.35,23.49
2007-08-24,1479.37,20.72,111.95,122.79,22.73
2007-08-27,1466.79,22.72,115.24,121.53,21.97
2007-08-28,1432.36,26.3,119.79,118.95,22.96
2007-08-29,1463.76,23.81,113.22,121.02,23.61
2007-08-30,1457.64,25.06,112.66,120.1,23.49
2007-08-31,1473.99,23.38,109.27,117.26,23.68
2007-08-31,1473.99,23.38,109.27,117.26,23.68
2007-09-04,1489.42,22.78,104.87,119.62,22.22
2007-09-05,1472.29,24.58,107.91,118.07,21.11
2007-09-06,1478.55,23.99,106.6,117.34,21.06
2007-09-07,1453.55,26.23,108.22,116.72,21.41
2007-09-10,1451.7,27.38,107.07,115.42,19.29
2007-09-11,1471.49,25.27,103.75,116.45,19.83
2007-09-12,1471.56,24.96,106.95,116.62,19.82
2007-09-13,1483.95,24.76,104.63,117.36,19.13
2007-09-14,1484.25,24.92,104.39,117.96,18.3
2007-09-17,1476.65,26.48,102.22,117.87,18.25
2007-09-18,1519.78,20.35,92.33,116.4,18.79
2007-09-19,1529.03,20.03,97.7,120.85,18.94
2007-09-20,1518.75,20.45,97.38,119.87,19.07
2007-09-21,1525.75,19.0,98.14,121.15,18.83
2007-09-24,1517.73,19.37,94.27,122.82,18.9
2007-09-25,1517.21,18.6,94.33,118.58,18.44
2007-09-26,1525.42,17.63,89.49,118.57,18.21
2007-09-27,1531.38,17.0,87.57,118.0,16.6
2007-09-28,1526.75,18.0,87.13,119.97,15.12
2007-10-01,1547.04,17.84,84.48,120.83,15.81
2007-10-02,1546.63,18.49,88.74,121.78,15.47
2007-10-03,1539.59,18.8,87.65,121.79,15.0
2007-10-04,1542.84,18.44,89.38,120.21,14.37
2007-10-05,1557.59,16.91,83.91,119.73,14.65
2007-10-08,1552.58,17.46,84.96,118.48,13.41
2007-10-09,1565.15,16.12,79.93,119.13,13.67
2007-10-10,1562.47,16.67,87.46,118.64,12.9
2007-10-11,1554.41,18.88,95.78,117.44,13.0
2007-10-12,1561.8,17.73,90.63,119.54,12.75
2007-10-15,1548.71,19.25,86.18,117.45,13.05
2007-10-16,1538.53,20.02,91.47,116.64,13.12
2007-10-17,1541.24,18.54,89.48,118.48,9.25
2007-10-18,1540.08,18.5,83.37,117.28,8.93
2007-10-19,1500.63,22.96,91.56,114.99,12.24
2007-10-22,1506.33,21.64,88.17,115.7,12.17
2007-10-23,1519.59,20.41,86.42,116.42,12.44
2007-10-24,1515.88,20.8,89.14,116.48,12.47
2007-10-25,1514.4,21.17,90.82,115.67,12.38
2007-10-26,1535.28,19.56,95.36,116.34,13.22
2007-10-29,1540.98,19.87,95.01,115.19,13.21
2007-10-30,1531.02,21.07,100.37,114.46,12.49
2007-10-31,1549.38,18.53,93.62,116.88,12.98
2007-11-01,1508.44,23.21,97.53,114.67,15.74
2007-11-02,1509.65,23.01,97.46,116.52,15.74
2007-11-05,1502.17,24.31,97.29,115.38,15.54
2007-11-06,1520.27,21.39,92.7,115.46,16.06
2007-11-07,1475.62,26.49,98.17,115.58,18.92
2007-11-08,1474.77,26.16,97.36,115.03,18.9
2007-11-09,1453.7,28.5,97.86,115.77,19.56
2007-11-12,1439.18,31.09,98.09,117.92,19.75
2007-11-13,1481.05,24.1,92.58,121.09,21.94
2007-11-14,1470.58,25.94,94.39,119.7,22.03
2007-11-15,1451.15,28.06,92.96,118.31,22.43
2007-11-16,1458.74,25.49,92.8,119.3,22.5
2007-11-19,1433.27,26.01,91.13,115.61,21.55
2007-11-20,1439.7,24.88,91.34,114.1,21.55
2007-11-21,1416.77,26.84,94.49,111.49,22.12
2007-11-21,1416.77,26.84,94.49,111.49,22.12
2007-11-23,1440.7,25.61,89.62,111.32,22.77
2007-11-26,1407.22,28.91,91.55,109.94,24.1
2007-11-27,1428.23,26.28,90.7,109.31,24.23
2007-11-28,1469.02,24.11,91.62,111.28,26.17
2007-11-29,1469.72,23.97,91.08,110.79,26.1
2007-11-30,1481.14,22.87,88.88,111.85,26.03
2007-12-03,1472.42,23.61,87.45,111.57,24.53
2007-12-04,1462.79,23.79,86.85,110.37,24.61
2007-12-05,1485.01,22.53,83.08,112.08,25.07
2007-12-06,1507.34,20.96,81.51,112.79,25.25
2007-12-07,1504.66,20.85,82.47,112.79,23.04
2007-12-10,1515.96,20.74,81.5,113.39,23.23
2007-12-11,1477.65,23.59,82.58,111.27,24.32
2007-12-12,1486.59,22.47,89.41,113.03,24.21
2007-12-13,1488.41,22.56,88.19,111.45,22.07
2007-12-14,1467.95,23.27,85.82,111.31,22.46
2007-12-17,1445.9,24.52,85.38,109.75,22.65
2007-12-18,1454.98,22.64,80.83,110.38,22.64
2007-12-19,1453.0,21.68,83.47,111.22,21.91
2007-12-20,1460.12,20.58,79.44,111.81,21.94
2007-12-21,1484.46,18.47,82.87,115.12,22.2
2007-12-24,1496.45,18.6,79.85,115.86,21.64
2007-12-24,1496.45,18.6,79.85,115.86,21.64
2007-12-26,1497.66,18.66,80.79,115.2,20.14
2007-12-27,1476.37,20.26,84.36,114.12,20.01
2007-12-28,1478.49,20.74,84.03,112.9,17.34
2007-12-31,1468.36,22.5,82.19,111.65,17.53
2007-12-31,1468.36,22.5,82.19,111.65,17.53
2008-01-02,1447.16,23.17,80.58,110.61,17.9
2008-01-03,1447.16,22.49,79.33,111.38,17.73
2008-01-04,1411.63,23.94,81.46,109.53,19.61
2008-01-07,1416.18,23.79,79.51,110.19,18.95
2008-01-08,1390.19,25.43,79.59,109.17,19.42
2008-01-09,1409.13,24.12,89.37,110.76,19.99
2008-01-10,1420.33,23.45,84.98,110.25,19.92
2008-01-11,1401.02,23.68,84.66,108.79,18.39
2008-01-14,1416.25,22.9,86.96,111.38,18.63
2008-01-15,1380.95,23.34,81.13,108.15,20.58
2008-01-16,1373.2,24.38,80.51,108.49,20.05
2008-01-17,1333.25,28.46,84.99,110.0,21.88
2008-01-18,1325.19,27.18,77.24,110.62,21.86
2008-01-18,1325.19,27.18,77.24,110.62,21.86
2008-01-22,1310.5,31.01,86.58,114.61,22.17
2008-01-23,1338.6,29.02,82.68,113.07,23.12
2008-01-24,1352.07,27.78,81.31,113.37,22.37
2008-01-25,1330.61,29.08,79.0,112.64,22.81
2008-01-28,1353.97,27.78,76.43,114.15,23.55
2008-01-29,1362.3,27.32,77.46,113.82,23.12
2008-01-30,1355.81,27.62,76.41,112.33,23.19
