Date,VIX,VXN NASDAQ
2005-11,10.6,14.01
2005-11,10.96,14.16
2005-11,,
2005-11,10.88,13.89
2005-11,11.84,14.78
2005-11,11.89,15.4
2005-11,12.06,15.31
2005-12,11.24,14.42
2005-12,11.01,13.92
2005-12,11.6,14.6
2005-12,11.52,14.36
2005-12,12.18,14.98
2005-12,12.21,15.44
2005-12,11.69,15.14
2005-12,11.47,14.83
2005-12,11.11,14.22
2005-12,10.48,13.79
2005-12,10.73,13.99
2005-12,10.68,13.19
2005-12,11.38,14.23
2005-12,11.19,14.14
2005-12,10.81,13.97
2005-12,10.29,13.67
2005-12,10.27,13.6
2005-12,,
2005-12,11.57,14.65
2005-12,11.35,14.48
2005-12,11.61,14.62
2005-12,12.07,14.26
2006-01,,
2006-01,11.14,14.69
2006-01,11.37,14.85
2006-01,11.31,15.01
2006-01,11.0,14.95
2006-01,11.13,15.66
2006-01,10.86,15.77
2006-01,10.94,15.23
2006-01,11.2,15.93
2006-01,11.23,15.92
2006-01,,
2006-01,11.91,16.74
2006-01,12.25,17.11
2006-01,11.98,16.51
2006-01,14.56,19.45
2006-01,13.93,19.43
2006-01,13.31,18.37
2006-01,12.87,17.93
2006-01,12.42,17.55
2006-01,11.97,17.31
2006-01,12.39,17.89
2006-01,12.95,18.58
2006-02,12.36,17.12
2006-02,13.23,17.79
2006-02,12.96,17.53
2006-02,13.04,17.62
2006-02,13.59,17.66
2006-02,12.83,17.06
2006-02,13.12,17.14
2006-02,12.87,16.88
2006-02,13.35,17.39
2006-02,12.25,16.91
2006-02,12.31,16.05
2006-02,11.48,14.93
2006-02,12.01,15.11
2006-02,,
2006-02,12.41,15.25
2006-02,11.88,15.34
2006-02,11.87,15.59
2006-02,11.46,15.16
2006-02,11.59,14.97
2006-02,12.34,15.99
2006-03,11.54,15.49
2006-03,11.72,15.99
2006-03,11.96,16.27
2006-03,12.74,17.52
2006-03,12.66,17.7
2006-03,12.32,17.47
2006-03,12.68,17.79
2006-03,11.85,17.62
2006-03,11.37,17.25
2006-03,10.74,15.72
2006-03,11.35,15.44
2006-03,11.98,15.62
2006-03,12.12,15.36
2006-03,11.79,15.93
2006-03,11.62,16.04
2006-03,11.21,16.1
2006-03,11.17,16.03
2006-03,11.19,15.91
2006-03,11.46,16.11
2006-03,11.58,16.3
2006-03,10.95,15.81
2006-03,11.57,16.14
2006-03,11.39,16.31
2006-04,11.57,16.52
2006-04,11.14,16.26
2006-04,11.13,15.92
2006-04,11.45,15.63
2006-04,12.26,15.88
2006-04,12.19,16.4
2006-04,13.0,17.04
2006-04,12.76,17.04
2006-04,12.38,16.34
2006-04,,
2006-04,12.58,17.31
2006-04,11.4,16.34
2006-04,11.32,15.21
2006-04,11.64,15.52
2006-04,11.59,15.92
2006-04,11.75,15.61
2006-04,11.75,15.59
2006-04,11.76,15.55
2006-04,11.84,15.21
2006-04,11.59,15.51
2006-05,12.54,16.33
2006-05,11.99,15.79
2006-05,11.99,15.58
2006-05,11.86,14.94
2006-05,11.62,14.43
2006-05,12.0,14.77
2006-05,11.99,14.64
2006-05,11.78,14.85
2006-05,12.49,15.72
2006-05,14.19,17.1
2006-05,13.57,18.04
2006-05,13.35,17.33
2006-05,16.26,19.56
2006-05,16.99,20.31
2006-05,17.18,20.95
2006-05,17.72,22.54
2006-05,18.26,22.18
2006-05,17.36,21.91
2006-05,15.5,19.69
2006-05,14.26,18.58
2006-05,,
2006-05,18.66,22.1
2006-05,16.44,21.46
2006-06,14.52,18.86
2006-06,14.32,18.38
2006-06,16.65,20.9
2006-06,17.34,22.18
2006-06,17.8,23.54
2006-06,18.35,24.61
2006-06,18.12,23.22
2006-06,20.96,25.64
2006-06,23.81,25.73
2006-06,21.46,24.34
2006-06,15.9,19.47
2006-06,17.25,21.69
2006-06,17.83,22.04
2006-06,16.69,21.03
2006-06,15.52,19.66
2006-06,15.88,20.81
2006-06,15.89,20.36
2006-06,15.62,20.83
2006-06,16.4,22.11
2006-06,15.79,21.45
2006-06,13.03,17.93
2006-06,13.08,17.89
2006-07,13.05,17.68
2006-07,,
2006-07,14.15,19.78
2006-07,13.65,19.8
2006-07,13.97,20.17
2006-07,14.02,20.82
2006-07,13.14,20.18
2006-07,14.49,22.07
2006-07,17.79,24.66
2006-07,18.05,24.62
2006-07,18.64,24.52
2006-07,17.74,23.89
2006-07,15.55,22.83
2006-07,16.21,23.22
2006-07,17.4,23.2
2006-07,14.98,21.78
2006-07,14.85,21.52
2006-07,14.62,20.69
2006-07,14.94,20.79
2006-07,14.33,19.26
2006-07,14.95,20.33
2006-08,15.05,21.38
2006-08,14.34,20.85
2006-08,14.46,21.12
2006-08,14.34,21.63
2006-08,15.23,22.87
2006-08,15.23,22.85
2006-08,15.2,21.6
2006-08,14.46,20.86
2006-08,14.3,20.06
2006-08,14.26,19.11
2006-08,13.42,18.49
2006-08,12.41,18.99
2006-08,12.24,18.96
2006-08,11.64,18.45
2006-08,12.22,19.87
2006-08,12.19,19.96
2006-08,12.4,20.29
2006-08,12.4,19.52
2006-08,12.31,16.98
2006-08,12.18,17.23
2006-08,12.28,17.29
2006-08,12.22,16.8
2006-08,12.31,17.39
2006-09,11.96,16.8
2006-09,,
2006-09,12.63,18.35
2006-09,13.74,20.19
2006-09,13.88,20.27
2006-09,13.16,19.82
2006-09,12.99,19.77
2006-09,11.92,18.26
2006-09,11.18,17.59
2006-09,11.55,17.49
2006-09,11.76,17.75
2006-09,11.78,18.45
2006-09,11.98,18.26
2006-09,11.39,18.45
2006-09,12.25,18.2
2006-09,12.59,18.23
2006-09,12.12,17.72
2006-09,11.53,17.66
2006-09,11.58,17.41
2006-09,11.72,17.26
2006-09,11.98,17.68
2006-10,12.57,19.44
2006-10,12.24,19.78
2006-10,11.86,18.53
2006-10,11.98,18.15
2006-10,11.56,17.97
2006-10,11.68,18.28
2006-10,11.52,18.86
2006-10,11.62,18.51
2006-10,11.09,17.66
2006-10,10.75,17.83
2006-10,11.09,18.45
2006-10,11.73,18.88
2006-10,11.34,18.09
2006-10,10.9,16.93
2006-10,10.63,16.7
2006-10,11.08,17.62
2006-10,10.78,17.25
2006-10,10.66,16.78
2006-10,10.56,16.59
2006-10,10.8,17.41
2006-10,11.2,17.99
2006-10,11.1,17.28
2006-11,11.51,17.98
2006-11,11.42,18.04
2006-11,11.16,17.23
2006-11,11.16,17.39
2006-11,11.09,17.51
2006-11,10.75,16.39
2006-11,11.01,16.66
2006-11,10.79,15.52
2006-11,10.86,16.2
2006-11,10.5,15.36
2006-11,10.31,15.4
2006-11,10.16,15.36
2006-11,10.05,15.33
2006-11,9.97,15.13
2006-11,9.9,15.02
2006-11,10.14,14.95
2006-11,,
2006-11,10.73,15.59
2006-11,12.3,17.6
2006-11,11.62,17.33
2006-11,10.83,16.78
2006-11,10.91,16.53
2006-12,11.66,16.6
2006-12,11.23,16.49
2006-12,11.27,16.2
2006-12,11.33,16.46
2006-12,12.67,17.93
2006-12,12.07,17.14
2006-12,10.71,15.54
2006-12,10.65,15.25
2006-12,10.18,14.9
2006-12,9.97,14.09
2006-12,10.05,15.15
2006-12,10.6,16.22
2006-12,10.3,16.55
2006-12,10.26,16.07
2006-12,10.53,16.41
2006-12,11.36,17.2
2006-12,,
2006-12,11.26,17.44
2006-12,10.64,16.46
2006-12,10.99,16.32
2006-12,11.56,16.23
2007-01,,
2007-01,,
2007-01,12.04,17.5
2007-01,11.51,16.99
2007-01,12.14,17.9
2007-01,12.0,18.35
2007-01,11.91,17.89
2007-01,11.47,17.25
2007-01,10.87,17.02
2007-01,10.15,16.56
2007-01,,
2007-01,10.74,17.28
2007-01,10.59,16.92
2007-01,10.85,17.63
2007-01,10.4,16.81
2007-01,10.77,17.65
2007-01,10.34,17.34
2007-01,9.89,16.61
2007-01,11.22,17.63
2007-01,11.13,17.52
2007-01,11.45,18.16
2007-01,10.96,17.98
2007-01,10.42,17.19
2007-02,10.31,17.11
2007-02,10.08,16.43
2007-02,10.55,16.84
2007-02,10.65,16.61
2007-02,10.32,16.17
2007-02,10.44,16.14
2007-02,11.1,17.11
2007-02,11.61,17.34
2007-02,10.34,15.83
2007-02,10.23,15.37
2007-02,10.22,15.27
2007-02,10.02,14.83
2007-02,,
2007-02,10.24,15.77
2007-02,10.2,15.38
2007-02,10.18,15.3
2007-02,10.58,15.32
2007-02,11.15,15.98
2007-02,18.31,22.97
2007-02,15.42,20.53
2007-03,15.82,21.51
2007-03,18.61,23.66
2007-03,19.63,24.61
2007-03,15.96,21.19
2007-03,15.24,20.56
2007-03,14.29,19.79
2007-03,14.09,18.94
2007-03,13.99,18.52
2007-03,18.13,22.04
2007-03,17.27,19.77
2007-03,16.43,18.79
2007-03,16.79,19.6
2007-03,14.59,18.38
2007-03,13.27,17.6
2007-03,12.19,17.2
2007-03,12.93,16.77
2007-03,12.95,17.17
2007-03,13.16,17.0
2007-03,13.48,17.2
2007-03,14.98,18.56
2007-03,15.14,18.53
2007-03,14.64,18.24
2007-04,14.53,18.6
2007-04,13.46,17.69
2007-04,13.24,17.1
2007-04,13.23,16.75
2007-04,,
2007-04,13.14,17.77
2007-04,12.68,17.02
2007-04,13.49,17.74
2007-04,12.71,17.42
2007-04,12.2,16.84
2007-04,11.98,16.44
2007-04,12.14,16.08
2007-04,12.42,16.29
2007-04,12.54,16.3
2007-04,12.07,15.71
2007-04,13.04,16.38
2007-04,13.12,16.37
2007-04,13.21,16.36
2007-04,12.79,15.97
2007-04,12.45,15.46
2007-04,14.22,17.26
2007-05,13.51,16.94
2007-05,13.08,16.7
2007-05,13.09,16.6
2007-05,12.91,16.59
2007-05,13.15,16.98
2007-05,13.21,17.06
2007-05,12.88,16.29
2007-05,13.6,17.38
2007-05,12.95,16.09
2007-05,13.96,16.83
2007-05,14.01,17.09
2007-05,13.5,16.31
2007-05,13.51,16.75
2007-05,12.76,15.91
2007-05,13.3,16.03
2007-05,13.06,16.07
2007-05,13.24,16.93
2007-05,14.08,18.02
2007-05,13.34,17.07
2007-05,,
2007-05,13.53,17.57
2007-05,12.83,16.84
2007-05,13.05,16.86
2007-06,12.78,16.58
2007-06,13.29,16.59
2007-06,13.63,16.44
2007-06,14.87,17.2
2007-06,17.06,19.3
2007-06,14.84,17.12
2007-06,14.71,16.29
2007-06,16.67,17.7
2007-06,14.73,15.81
2007-06,13.64,15.43
2007-06,13.94,15.94
2007-06,13.42,15.86
2007-06,12.85,15.53
2007-06,14.67,16.68
2007-06,14.21,16.21
2007-06,15.75,17.29
2007-06,16.65,18.07
2007-06,18.89,19.59
2007-06,15.53,17.36
2007-06,15.54,16.91
2007-06,16.23,17.86
2007-07,15.4,17.0
2007-07,14.92,16.7
2007-07,,
2007-07,15.48,17.09
2007-07,14.72,16.52
2007-07,15.16,17.08
2007-07,17.57,18.61
2007-07,16.64,17.54
2007-07,15.54,17.25
2007-07,15.15,16.44
2007-07,15.59,16.55
2007-07,15.63,16.95
2007-07,16.0,16.77
2007-07,15.23,16.55
2007-07,16.95,17.49
2007-07,16.81,17.85
2007-07,18.55,19.31
2007-07,18.1,18.92
2007-07,20.74,19.5
2007-07,24.17,23.18
2007-07,20.87,20.76
2007-07,23.52,23.55
2007-08,23.67,23.78
2007-08,21.22,21.24
2007-08,25.16,24.42
2007-08,22.94,22.43
2007-08,21.56,21.08
2007-08,21.45,20.97
2007-08,26.48,26.23
2007-08,28.3,26.84
2007-08,26.57,24.57
2007-08,27.68,24.97
2007-08,30.67,27.97
2007-08,30.83,29.03
2007-08,29.99,27.04
2007-08,26.33,25.2
2007-08,25.25,23.67
2007-08,22.89,22.0
2007-08,22.62,22.03
2007-08,20.72,20.69
2007-08,22.72,22.63
2007-08,26.3,25.9
2007-08,23.81,23.61
2007-08,25.06,25.38
2007-08,23.38,24.53
2007-09,,
2007-09,22.78,24.51
2007-09,24.58,27.15
2007-09,23.99,26.64
2007-09,26.23,29.22
2007-09,27.38,29.94
2007-09,25.27,27.52
2007-09,24.96,28.02
2007-09,24.76,27.44
2007-09,24.92,26.96
2007-09,26.48,28.74
2007-09,20.35,23.28
2007-09,20.03,22.51
2007-09,20.45,21.97
2007-09,19.0,20.71
2007-09,19.37,20.83
2007-09,18.6,20.8
2007-09,17.63,20.59
2007-09,17.0,20.59
2007-09,18.0,21.01
2007-10,17.84,21.09
2007-10,18.49,21.26
2007-10,18.8,21.55
2007-10,18.44,21.46
2007-10,16.91,19.77
2007-10,17.46,20.25
2007-10,16.12,19.42
2007-10,16.67,19.73
2007-10,18.88,22.42
2007-10,17.73,21.2
2007-10,19.25,23.46
2007-10,20.02,23.56
2007-10,18.54,22.02
2007-10,18.5,22.14
2007-10,22.96,25.94
2007-10,21.64,25.26
2007-10,20.41,24.13
2007-10,20.8,24.8
2007-10,21.17,25.77
2007-10,19.56,25.01
2007-10,19.87,25.83
2007-10,21.07,26.36
2007-10,18.53,23.11
2007-11,23.21,26.26
2007-11,23.01,24.83
2007-11,24.31,26.1
2007-11,21.39,23.91
2007-11,26.49,27.14
2007-11,26.16,29.61
2007-11,28.5,32.52
2007-11,31.09,34.94
2007-11,24.1,29.71
2007-11,25.94,31.32
2007-11,28.06,32.91
2007-11,25.49,28.79
2007-11,26.01,30.11
2007-11,24.88,29.89
2007-11,26.84,30.55
2007-11,,
2007-11,25.61,30.49
2007-11,28.91,33.43
2007-11,26.28,30.76
2007-11,24.11,28.83
2007-11,23.97,28.27
2007-11,22.87,28.65
2007-12,23.61,29.63
2007-12,23.79,28.85
2007-12,22.53,26.91
2007-12,20.96,24.89
2007-12,20.85,23.75
2007-12,20.74,24.39
2007-12,23.59,26.46
2007-12,22.47,25.97
2007-12,22.56,25.52
2007-12,23.27,25.91
2007-12,24.52,27.89
2007-12,22.64,26.79
2007-12,21.68,24.88
2007-12,20.58,23.15
2007-12,18.47,20.9
2007-12,18.6,21.42
2007-12,,
2007-12,18.66,21.32
2007-12,20.26,22.46
2007-12,20.74,23.63
2007-12,22.5,25.9
2008-01,,
2008-01,23.17,27.14
2008-01,22.49,26.59
2008-01,23.94,28.62
2008-01,23.79,29.39
2008-01,25.43,30.77
2008-01,24.12,28.18
2008-01,23.45,27.78
2008-01,23.68,28.82
2008-01,22.9,28.08
2008-01,23.34,27.48
2008-01,24.38,28.87
2008-01,28.46,31.16
2008-01,27.18,30.23
2008-01,,
2008-01,31.01,35.63
2008-01,29.02,34.02
2008-01,27.78,32.22
2008-01,29.08,33.81
2008-01,27.78,32.56
2008-01,27.32,32.85
2008-01,27.62,31.8
2008-01,26.2,31.08
2008-02,24.02,28.25
2008-02,25.99,30.46
2008-02,28.24,32.44
2008-02,28.97,32.68
2008-02,27.66,31.56
2008-02,28.01,30.08
2008-02,27.6,29.09
2008-02,26.33,28.22
2008-02,24.88,25.35
2008-02,25.54,26.52
2008-02,25.02,26.69
2008-02,,
2008-02,25.59,27.99
2008-02,24.4,27.09
2008-02,25.12,26.92
2008-02,24.06,26.3
2008-02,23.03,26.67
2008-02,21.9,25.95
2008-02,22.69,25.06
2008-02,23.53,26.6
2008-02,26.54,28.44
2008-03,26.28,29.47
2008-03,25.52,28.26
2008-03,24.6,27.52
2008-03,27.55,29.99
2008-03,27.49,29.25
2008-03,29.38,31.38
2008-03,26.36,28.56
2008-03,27.22,30.05
2008-03,27.29,29.86
2008-03,31.16,32.01
2008-03,32.24,32.99
2008-03,25.79,28.45
2008-03,29.84,31.28
2008-03,26.62,29.05
2008-03,,
2008-03,25.73,28.69
2008-03,25.72,29.07
2008-03,26.08,29.75
2008-03,25.88,29.55
2008-03,25.71,28.87
2008-03,25.61,29.04
2008-04,22.68,26.56
2008-04,23.43,27.27
2008-04,23.21,26.93
2008-04,22.45,25.6
2008-04,22.42,26.19
2008-04,22.36,26.03
2008-04,22.81,26.61
2008-04,21.98,25.77
2008-04,23.46,27.54
2008-04,23.82,28.28
2008-04,22.78,27.46
2008-04,20.53,25.55
2008-04,20.37,24.2
2008-04,20.13,23.58
2008-04,20.5,24.09
2008-04,20.87,24.54
2008-04,20.26,25.06
2008-04,20.06,23.72
2008-04,19.59,23.34
2008-04,19.64,23.65
2008-04,20.24,23.87
2008-04,20.79,24.41
2008-05,18.88,22.72
2008-05,18.18,21.39
2008-05,18.9,22.43
2008-05,18.21,21.88
2008-05,19.73,23.51
2008-05,19.4,23.18
2008-05,19.41,23.48
2008-05,17.79,22.46
2008-05,17.98,21.5
2008-05,17.66,21.47
2008-05,16.3,20.13
2008-05,16.47,20.0
2008-05,17.01,21.09
2008-05,17.58,21.37
2008-05,18.59,22.96
2008-05,18.05,22.49
2008-05,19.55,23.36
2008-05,,
2008-05,19.64,22.99
2008-05,19.07,22.24
2008-05,18.14,21.28
2008-05,17.83,20.85
2008-06,19.83,22.88
2008-06,20.24,23.89
2008-06,20.8,24.01
2008-06,18.63,22.85
2008-06,23.56,26.04
2008-06,23.12,26.7
2008-06,23.18,26.58
2008-06,24.12,27.32
2008-06,23.33,27.4
2008-06,21.22,25.3
2008-06,20.95,25.02
2008-06,21.13,24.7
2008-06,22.24,25.8
2008-06,21.58,24.8
2008-06,22.87,26.75
2008-06,22.64,27.53
2008-06,22.42,28.14
2008-06,21.14,26.39
2008-06,23.93,29.06
2008-06,23.44,28.67
2008-06,23.95,29.76
2008-07,23.65,28.73
2008-07,25.92,30.92
2008-07,24.79,29.85
2008-07,,
2008-07,25.78,30.38
2008-07,23.15,28.43
2008-07,25.23,30.27
2008-07,25.59,30.45
2008-07,27.49,31.67
2008-07,28.48,33.2
2008-07,28.54,33.01
2008-07,25.1,30.13
2008-07,25.01,29.87
2008-07,24.05,30.49
2008-07,23.05,29.69
2008-07,21.18,27.09
2008-07,21.31,27.44
2008-07,23.44,27.83
2008-07,22.91,26.63
2008-07,24.23,27.74
2008-07,22.03,26.15
2008-07,21.21,25.54
2008-07,22.94,26.24
2008-08,22.57,25.97
2008-08,23.49,27.56
2008-08,21.14,25.65
2008-08,20.23,24.35
2008-08,21.15,24.75
2008-08,20.66,24.24
2008-08,20.12,24.19
2008-08,21.17,24.51
2008-08,21.55,24.57
2008-08,20.34,22.6
2008-08,19.58,22.52
2008-08,20.98,23.59
2008-08,21.28,24.21
2008-08,20.42,23.53
2008-08,19.82,23.15
2008-08,18.81,22.38
2008-08,20.97,24.28
2008-08,20.49,24.03
2008-08,19.76,23.34
2008-08,19.43,23.15
2008-08,20.65,24.02
2008-09,,
2008-09,21.99,26.15
2008-09,21.43,25.74
2008-09,24.03,27.56
2008-09,23.06,26.66
2008-09,22.64,27.42
2008-09,25.47,28.63
2008-09,24.52,27.76
2008-09,24.39,27.31
2008-09,25.66,28.21
2008-09,31.7,32.13
2008-09,30.3,31.0
2008-09,36.22,35.88
2008-09,33.1,32.82
2008-09,32.07,34.26
2008-09,33.85,35.46
2008-09,35.72,36.52
2008-09,35.19,36.4
2008-09,32.82,34.86
2008-09,34.74,36.85
2008-09,46.72,49.56
2008-09,39.39,42.58
2008-10,39.81,42.92
2008-10,45.26,49.53
2008-10,45.14,49.76
2008-10,52.05,55.36
2008-10,53.68,58.51
2008-10,57.53,63.27
2008-10,63.92,69.66
2008-10,69.95,71.58
2008-10,54.99,60.27
2008-10,55.13,62.77
2008-10,69.25,72.93
2008-10,67.61,72.39
2008-10,70.33,71.26
2008-10,52.97,59.65
2008-10,53.11,60.07
2008-10,69.65,70.92
2008-10,67.8,69.84
2008-10,79.13,78.82
2008-10,80.06,79.16
2008-10,66.96,66.2
2008-10,69.96,69.13
2008-10,62.9,63.19
2008-10,59.89,60.3
2008-11,53.68,56.22
2008-11,47.73,51.25
2008-11,54.56,55.43
2008-11,63.68,62.7
2008-11,56.1,55.14
2008-11,59.98,58.44
2008-11,61.44,60.83
2008-11,66.46,64.64
2008-11,59.83,58.03
2008-11,66.31,66.05
2008-11,69.15,68.6
2008-11,67.64,68.31
2008-11,74.26,74.66
2008-11,80.86,80.64
2008-11,72.67,71.2
2008-11,64.7,62.92
2008-11,60.9,59.71
2008-11,54.92,55.26
2008-11,,
2008-11,55.84,56.05
2008-12,68.51,66.35
2008-12,62.98,62.48
2008-12,60.72,61.74
2008-12,63.64,62.59
2008-12,59.93,58.96
2008-12,58.49,57.17
2008-12,58.91,56.59
2008-12,55.73,53.82
2008-12,55.78,52.06
2008-12,54.28,51.91
2008-12,56.76,54.71
2008-12,52.37,50.22
2008-12,49.84,48.04
2008-12,47.34,46.03
2008-12,44.93,43.5
2008-12,44.56,41.91
2008-12,45.02,43.29
2008-12,44.21,43.4
2008-12,,
2008-12,43.38,43.15
2008-12,43.9,43.69
2008-12,41.63,41.67
2008-12,40.0,40.79
2009-01,,
2009-01,39.19,39.11
2009-01,39.08,39.07
2009-01,38.56,39.71
2009-01,43.39,43.52
2009-01,42.56,43.23
2009-01,42.82,43.84
2009-01,45.84,44.46
2009-01,43.27,43.11
2009-01,49.14,47.8
2009-01,51.0,48.33
2009-01,46.11,44.19
2009-01,,
2009-01,56.65,54.45
2009-01,46.42,47.35
2009-01,47.29,45.83
2009-01,47.27,46.6
2009-01,45.69,45.0
2009-01,42.25,43.1
2009-01,39.66,39.17
2009-01,42.63,42.58
2009-01,44.84,44.93
2009-02,45.52,46.47
2009-02,43.06,42.88
2009-02,43.85,42.82
2009-02,43.73,43.3
2009-02,43.37,41.95
2009-02,43.64,43.51
2009-02,46.67,45.86
2009-02,44.53,44.58
2009-02,41.25,41.99
2009-02,42.93,43.11
2009-02,,
2009-02,48.66,47.5
2009-02,48.46,46.68
2009-02,47.08,45.2
2009-02,49.3,47.18
2009-02,52.62,50.06
2009-02,45.49,44.05
2009-02,44.67,43.95
2009-02,44.66,43.87
2009-02,46.35,45.28
2009-03,52.65,50.92
2009-03,50.93,49.36
2009-03,47.56,45.66
2009-03,50.17,48.08
2009-03,49.33,47.99
2009-03,49.68,48.76
2009-03,44.37,43.83
