Date,VIX,VXN NASDAQ,High Yield Spread
2006-01-31,12.95,18.58,3.42
2006-02-01,12.36,17.12,3.35
2006-02-02,13.23,17.79,3.35
2006-02-03,12.96,17.53,3.38
2006-02-06,13.04,17.62,3.38
2006-02-07,13.59,17.66,3.39
2006-02-08,12.83,17.06,3.38
2006-02-09,13.12,17.14,3.38
2006-02-10,12.87,16.88,3.35
2006-02-13,13.35,17.39,3.37
2006-02-14,12.25,16.91,3.36
2006-02-15,12.31,16.05,3.32
2006-02-16,11.48,14.93,3.29
2006-02-17,12.01,15.11,3.3
2006-02-20,,,3.3
2006-02-21,12.41,15.25,3.29
2006-02-22,11.88,15.34,3.31
2006-02-23,11.87,15.59,3.27
2006-02-24,11.46,15.16,3.28
2006-02-27,11.59,14.97,3.28
2006-02-28,12.34,15.99,3.37
2006-03-01,11.54,15.49,3.33
2006-03-02,11.72,15.99,3.32
2006-03-03,11.96,16.27,3.29
2006-03-06,12.74,17.52,3.26
2006-03-07,12.66,17.7,3.3
2006-03-08,12.32,17.47,3.31
2006-03-09,12.68,17.79,3.32
2006-03-10,11.85,17.62,3.3
2006-03-13,11.37,17.25,3.27
2006-03-14,10.74,15.72,3.34
2006-03-15,11.35,15.44,3.29
2006-03-16,11.98,15.62,3.34
2006-03-17,12.12,15.36,3.31
2006-03-20,11.79,15.93,3.3
2006-03-21,11.62,16.04,3.21
2006-03-22,11.21,16.1,3.2
2006-03-23,11.17,16.03,3.18
2006-03-24,11.19,15.91,3.23
2006-03-27,11.46,16.11,3.19
2006-03-28,11.58,16.3,3.12
2006-03-29,10.95,15.81,3.14
2006-03-30,11.57,16.14,3.11
2006-03-31,11.39,16.31,3.13
2006-04-03,11.57,16.52,3.09
2006-04-04,11.14,16.26,3.1
2006-04-05,11.13,15.92,3.13
2006-04-06,11.45,15.63,3.12
2006-04-07,12.26,15.88,3.06
2006-04-10,12.19,16.4,3.1
2006-04-11,13.0,17.04,3.11
2006-04-12,12.76,17.04,3.06
2006-04-13,12.38,16.34,3.05
2006-04-14,,,
2006-04-17,12.58,17.31,3.08
2006-04-18,11.4,16.34,3.11
2006-04-19,11.32,15.21,3.07
2006-04-20,11.64,15.52,3.04
2006-04-21,11.59,15.92,3.04
2006-04-24,11.75,15.61,3.06
2006-04-25,11.75,15.59,2.98
2006-04-26,11.76,15.55,2.97
2006-04-27,11.84,15.21,3.0
2006-04-28,11.59,15.51,3.0
2006-05-01,12.54,16.33,2.96
2006-05-02,11.99,15.79,2.97
2006-05-03,11.99,15.58,2.94
2006-05-04,11.86,14.94,2.93
2006-05-05,11.62,14.43,2.96
2006-05-08,12.0,14.77,2.94
2006-05-09,11.99,14.64,2.92
2006-05-10,11.78,14.85,2.9
2006-05-11,12.49,15.72,2.88
2006-05-12,14.19,17.1,2.88
2006-05-15,13.57,18.04,2.92
2006-05-16,13.35,17.33,2.99
2006-05-17,16.26,19.56,3.03
2006-05-18,16.99,20.31,3.09
2006-05-19,17.18,20.95,3.08
2006-05-22,17.72,22.54,3.15
2006-05-23,18.26,22.18,3.12
2006-05-24,17.36,21.91,3.18
2006-05-25,15.5,19.69,3.13
2006-05-26,14.26,18.58,3.12
2006-05-29,,,3.12
2006-05-30,18.66,22.1,3.1
2006-05-31,16.44,21.46,3.12
2006-06-01,14.52,18.86,3.13
2006-06-02,14.32,18.38,3.22
2006-06-05,16.65,20.9,3.19
2006-06-06,17.34,22.18,3.24
2006-06-07,17.8,23.54,3.22
2006-06-08,18.35,24.61,3.26
2006-06-09,18.12,23.22,3.27
2006-06-12,20.96,25.64,3.25
2006-06-13,23.81,25.73,3.32
2006-06-14,21.46,24.34,3.32
2006-06-15,15.9,19.47,3.29
2006-06-16,17.25,21.69,3.26
2006-06-19,17.83,22.04,3.25
2006-06-20,16.69,21.03,3.28
2006-06-21,15.52,19.66,3.34
2006-06-22,15.88,20.81,3.32
2006-06-23,15.89,20.36,3.31
2006-06-26,15.62,20.83,3.34
2006-06-27,16.4,22.11,3.36
2006-06-28,15.79,21.45,3.33
2006-06-29,13.03,17.93,3.33
2006-06-30,13.08,17.89,3.35
2006-07-03,13.05,17.68,3.33
2006-07-04,,,3.33
2006-07-05,14.15,19.78,3.27
2006-07-06,13.65,19.8,3.31
2006-07-07,13.97,20.17,3.33
2006-07-10,14.02,20.82,3.3
2006-07-11,13.14,20.18,3.33
2006-07-12,14.49,22.07,3.32
2006-07-13,17.79,24.66,3.39
2006-07-14,18.05,24.62,3.44
2006-07-17,18.64,24.52,3.42
2006-07-18,17.74,23.89,3.37
2006-07-19,15.55,22.83,3.42
2006-07-20,16.21,23.22,3.43
2006-07-21,17.4,23.2,3.41
2006-07-24,14.98,21.78,3.41
2006-07-25,14.85,21.52,3.38
2006-07-26,14.62,20.69,3.38
2006-07-27,14.94,20.79,3.36
2006-07-28,14.33,19.26,3.4
2006-07-31,14.95,20.33,3.45
2006-08-01,15.05,21.38,3.44
2006-08-02,14.34,20.85,3.42
2006-08-03,14.46,21.12,3.42
2006-08-04,14.34,21.63,3.44
2006-08-07,15.23,22.87,3.42
2006-08-08,15.23,22.85,3.41
2006-08-09,15.2,21.6,3.41
2006-08-10,14.46,20.86,3.42
2006-08-11,14.3,20.06,3.39
2006-08-14,14.26,19.11,3.36
2006-08-15,13.42,18.49,3.39
2006-08-16,12.41,18.99,3.42
2006-08-17,12.24,18.96,3.38
2006-08-18,11.64,18.45,3.41
2006-08-21,12.22,19.87,3.43
2006-08-22,12.19,19.96,3.43
2006-08-23,12.4,20.29,3.43
2006-08-24,12.4,19.52,3.43
2006-08-25,12.31,16.98,3.44
2006-08-28,12.18,17.23,3.41
2006-08-29,12.28,17.29,3.41
2006-08-30,12.22,16.8,3.42
2006-08-31,12.31,17.39,3.49
2006-09-01,11.96,16.8,3.49
2006-09-04,,,3.49
2006-09-05,12.63,18.35,3.43
2006-09-06,13.74,20.19,3.4
2006-09-07,13.88,20.27,3.41
2006-09-08,13.16,19.82,3.42
2006-09-11,12.99,19.77,3.39
2006-09-12,11.92,18.26,3.4
2006-09-13,11.18,17.59,3.38
2006-09-14,11.55,17.49,3.35
2006-09-15,11.76,17.75,3.33
2006-09-18,11.78,18.45,3.33
2006-09-19,11.98,18.26,3.4
2006-09-20,11.39,18.45,3.39
2006-09-21,12.25,18.2,3.48
2006-09-22,12.59,18.23,3.53
2006-09-25,12.12,17.72,3.55
2006-09-26,11.53,17.66,3.5
2006-09-27,11.58,17.41,3.46
2006-09-28,11.72,17.26,3.44
2006-09-29,11.98,17.68,3.42
2006-10-02,12.57,19.44,3.44
2006-10-03,12.24,19.78,3.43
2006-10-04,11.86,18.53,3.45
2006-10-05,11.98,18.15,3.39
2006-10-06,11.56,17.97,3.31
2006-10-09,11.68,18.28,3.31
2006-10-10,11.52,18.86,3.27
2006-10-11,11.62,18.51,3.23
2006-10-12,11.09,17.66,3.22
2006-10-13,10.75,17.83,3.19
2006-10-16,11.09,18.45,3.18
2006-10-17,11.73,18.88,3.19
2006-10-18,11.34,18.09,3.18
2006-10-19,10.9,16.93,3.17
2006-10-20,10.63,16.7,3.17
2006-10-23,11.08,17.62,3.14
2006-10-24,10.78,17.25,3.15
2006-10-25,10.66,16.78,3.19
2006-10-26,10.56,16.59,3.21
2006-10-27,10.8,17.41,3.23
2006-10-30,11.2,17.99,3.21
2006-10-31,11.1,17.28,3.29
2006-11-01,11.51,17.98,3.3
2006-11-02,11.42,18.04,3.24
2006-11-03,11.16,17.23,3.12
2006-11-06,11.16,17.39,3.13
2006-11-07,11.09,17.51,3.14
2006-11-08,10.75,16.39,3.15
2006-11-09,11.01,16.66,3.13
2006-11-10,10.79,15.52,3.15
2006-11-13,10.86,16.2,3.12
2006-11-14,10.5,15.36,3.13
2006-11-15,10.31,15.4,3.05
2006-11-16,10.16,15.36,2.99
2006-11-17,10.05,15.33,3.06
2006-11-20,9.97,15.13,3.07
2006-11-21,9.9,15.02,3.13
2006-11-22,10.14,14.95,3.14
2006-11-23,,,3.14
2006-11-24,10.73,15.59,3.15
2006-11-27,12.3,17.6,3.17
2006-11-28,11.62,17.33,3.22
2006-11-29,10.83,16.78,3.15
2006-11-30,10.91,16.53,3.2
2006-12-01,11.66,16.6,3.21
2006-12-04,11.23,16.49,3.2
2006-12-05,11.27,16.2,3.14
2006-12-06,11.33,16.46,3.07
2006-12-07,12.67,17.93,3.05
2006-12-08,12.07,17.14,3.0
2006-12-11,10.71,15.54,3.02
2006-12-12,10.65,15.25,3.06
2006-12-13,10.18,14.9,3.0
2006-12-14,9.97,14.09,3.0
2006-12-15,10.05,15.15,2.98
2006-12-18,10.6,16.22,2.99
2006-12-19,10.3,16.55,2.98
2006-12-20,10.26,16.07,2.97
2006-12-21,10.53,16.41,2.99
2006-12-22,11.36,17.2,2.93
2006-12-25,,,
2006-12-26,11.26,17.44,2.93
2006-12-27,10.64,16.46,2.87
2006-12-28,10.99,16.32,2.83
2006-12-29,11.56,16.23,2.82
2007-01-01,,,
2007-01-02,,,2.91
2007-01-03,12.04,17.5,2.91
2007-01-04,11.51,16.99,2.95
2007-01-05,12.14,17.9,2.93
2007-01-08,12.0,18.35,2.92
2007-01-09,11.91,17.89,2.89
2007-01-10,11.47,17.25,2.87
2007-01-11,10.87,17.02,2.82
2007-01-12,10.15,16.56,2.8
2007-01-15,,,2.79
2007-01-16,10.74,17.28,2.78
2007-01-17,10.59,16.92,2.72
2007-01-18,10.85,17.63,2.73
2007-01-19,10.4,16.81,2.7
2007-01-22,10.77,17.65,2.69
2007-01-23,10.34,17.34,2.65
2007-01-24,9.89,16.61,2.63
2007-01-25,11.22,17.63,2.57
2007-01-26,11.13,17.52,2.59
2007-01-29,11.45,18.16,2.58
2007-01-30,10.96,17.98,2.62
2007-01-31,10.42,17.19,2.72
2007-02-01,10.31,17.11,2.66
2007-02-02,10.08,16.43,2.67
2007-02-05,10.55,16.84,2.67
2007-02-06,10.65,16.61,2.67
2007-02-07,10.32,16.17,2.65
2007-02-08,10.44,16.14,2.65
2007-02-09,11.1,17.11,2.59
2007-02-12,11.61,17.34,2.59
2007-02-13,10.34,15.83,2.58
2007-02-14,10.23,15.37,2.62
2007-02-15,10.22,15.27,2.59
2007-02-16,10.02,14.83,2.57
2007-02-19,,,2.57
2007-02-20,10.24,15.77,2.57
2007-02-21,10.2,15.38,2.53
2007-02-22,10.18,15.3,2.49
2007-02-23,10.58,15.32,2.55
2007-02-26,11.15,15.98,2.58
2007-02-27,18.31,22.97,2.79
2007-02-28,15.42,20.53,2.82
2007-03-01,15.82,21.51,2.83
2007-03-02,18.61,23.66,2.91
2007-03-05,19.63,24.61,2.99
2007-03-06,15.96,21.19,2.94
2007-03-07,15.24,20.56,2.91
2007-03-08,14.29,19.79,2.85
2007-03-09,14.09,18.94,2.75
2007-03-12,13.99,18.52,2.8
2007-03-13,18.13,22.04,2.92
2007-03-14,17.27,19.77,2.94
2007-03-15,16.43,18.79,2.88
2007-03-16,16.79,19.6,2.88
2007-03-19,14.59,18.38,2.85
2007-03-20,13.27,17.6,2.88
2007-03-21,12.19,17.2,2.91
2007-03-22,12.93,16.77,2.81
2007-03-23,12.95,17.17,2.79
2007-03-26,13.16,17.0,2.82
2007-03-27,13.48,17.2,2.81
2007-03-28,14.98,18.56,2.84
2007-03-29,15.14,18.53,2.82
2007-03-30,14.64,18.24,2.8
2007-04-02,14.53,18.6,2.86
2007-04-03,13.46,17.69,2.83
2007-04-04,13.24,17.1,2.87
2007-04-05,13.23,16.75,2.84
2007-04-06,,,
2007-04-09,13.14,17.77,2.76
2007-04-10,12.68,17.02,2.78
2007-04-11,13.49,17.74,2.75
2007-04-12,12.71,17.42,2.75
2007-04-13,12.2,16.84,2.71
2007-04-16,11.98,16.44,2.7
2007-04-17,12.14,16.08,2.72
2007-04-18,12.42,16.29,2.73
2007-04-19,12.54,16.3,2.71
2007-04-20,12.07,15.71,2.68
2007-04-23,13.04,16.38,2.68
2007-04-24,13.12,16.37,2.7
2007-04-25,13.21,16.36,2.67
2007-04-26,12.79,15.97,2.63
2007-04-27,12.45,15.46,2.63
2007-04-30,14.22,17.26,2.74
2007-05-01,13.51,16.94,2.74
2007-05-02,13.08,16.7,2.72
2007-05-03,13.09,16.6,2.67
2007-05-04,12.91,16.59,2.7
2007-05-07,13.15,16.98,2.69
2007-05-08,13.21,17.06,2.69
2007-05-09,12.88,16.29,2.64
2007-05-10,13.6,17.38,2.65
2007-05-11,12.95,16.09,2.63
2007-05-14,13.96,16.83,2.61
2007-05-15,14.01,17.09,2.57
2007-05-16,13.5,16.31,2.58
2007-05-17,13.51,16.75,2.55
2007-05-18,12.76,15.91,2.51
2007-05-21,13.3,16.03,2.5
2007-05-22,13.06,16.07,2.46
2007-05-23,13.24,16.93,2.44
2007-05-24,14.08,18.02,2.45
2007-05-25,13.34,17.07,2.45
2007-05-28,,,
2007-05-29,13.53,17.57,2.42
2007-05-30,12.83,16.84,2.44
2007-05-31,13.05,16.86,2.46
2007-06-01,12.78,16.58,2.41
2007-06-04,13.29,16.59,2.44
2007-06-05,13.63,16.44,2.41
2007-06-06,14.87,17.2,2.48
2007-06-07,17.06,19.3,2.48
2007-06-08,14.84,17.12,2.51
2007-06-11,14.71,16.29,2.5
2007-06-12,16.67,17.7,2.49
2007-06-13,14.73,15.81,2.53
2007-06-14,13.64,15.43,2.49
2007-06-15,13.94,15.94,2.51
2007-06-18,13.42,15.86,2.52
2007-06-19,12.85,15.53,2.6
2007-06-20,14.67,16.68,2.59
2007-06-21,14.21,16.21,2.66
2007-06-22,15.75,17.29,2.69
2007-06-25,16.65,18.07,2.8
2007-06-26,18.89,19.59,2.79
2007-06-27,15.53,17.36,2.88
2007-06-28,15.54,16.91,2.83
2007-06-29,16.23,17.86,2.89
2007-07-02,15.4,17.0,3.03
2007-07-03,14.92,16.7,2.99
2007-07-04,,,2.99
2007-07-05,15.48,17.09,2.92
2007-07-06,14.72,16.52,2.9
2007-07-09,15.16,17.08,2.93
2007-07-10,17.57,18.61,3.12
2007-07-11,16.64,17.54,3.16
2007-07-12,15.54,17.25,3.08
2007-07-13,15.15,16.44,3.06
2007-07-16,15.59,16.55,3.07
2007-07-17,15.63,16.95,3.05
2007-07-18,16.0,16.77,3.2
2007-07-19,15.23,16.55,3.2
2007-07-20,16.95,17.49,3.37
2007-07-23,16.81,17.85,3.44
2007-07-24,18.55,19.31,3.61
2007-07-25,18.1,18.92,3.71
2007-07-26,20.74,19.5,4.13
2007-07-27,24.17,23.18,4.28
2007-07-30,20.87,20.76,4.24
2007-07-31,23.52,23.55,4.19
2007-08-01,23.67,23.78,4.28
2007-08-02,21.22,21.24,4.18
2007-08-03,25.16,24.42,4.24
2007-08-06,22.94,22.43,4.28
2007-08-07,21.56,21.08,4.2
2007-08-08,21.45,20.97,3.93
2007-08-09,26.48,26.23,4.04
2007-08-10,28.3,26.84,4.12
2007-08-13,26.57,24.57,4.08
2007-08-14,27.68,24.97,4.16
2007-08-15,30.67,27.97,4.27
2007-08-16,30.83,29.03,4.59
2007-08-17,29.99,27.04,4.48
2007-08-20,26.33,25.2,4.5
2007-08-21,25.25,23.67,4.53
2007-08-22,22.89,22.0,4.42
2007-08-23,22.62,22.03,4.34
2007-08-24,20.72,20.69,4.29
2007-08-27,22.72,22.63,4.3
2007-08-28,26.3,25.9,4.44
2007-08-29,23.81,23.61,4.43
2007-08-30,25.06,25.38,4.48
2007-08-31,23.38,24.53,4.55
2007-09-03,,,4.55
2007-09-04,22.78,24.51,4.53
2007-09-05,24.58,27.15,4.6
2007-09-06,23.99,26.64,4.56
2007-09-07,26.23,29.22,4.73
2007-09-10,27.38,29.94,4.79
2007-09-11,25.27,27.52,4.74
2007-09-12,24.96,28.02,4.69
2007-09-13,24.76,27.44,4.57
2007-09-14,24.92,26.96,4.58
2007-09-17,26.48,28.74,4.52
2007-09-18,20.35,23.28,4.46
2007-09-19,20.03,22.51,4.3
2007-09-20,20.45,21.97,4.21
2007-09-21,19.0,20.71,4.16
2007-09-24,19.37,20.83,4.1
2007-09-25,18.6,20.8,4.17
2007-09-26,17.63,20.59,4.14
2007-09-27,17.0,20.59,4.15
2007-09-28,18.0,21.01,4.16
2007-10-01,17.84,21.09,4.19
2007-10-02,18.49,21.26,4.2
2007-10-03,18.8,21.55,4.16
2007-10-04,18.44,21.46,4.15
2007-10-05,16.91,19.77,4.02
2007-10-08,17.46,20.25,4.02
2007-10-09,16.12,19.42,3.95
2007-10-10,16.67,19.73,3.91
2007-10-11,18.88,22.42,3.86
2007-10-12,17.73,21.2,3.83
2007-10-15,19.25,23.46,3.81
2007-10-16,20.02,23.56,3.91
2007-10-17,18.54,22.02,4.07
2007-10-18,18.5,22.14,4.2
2007-10-19,22.96,25.94,4.36
2007-10-22,21.64,25.26,4.39
2007-10-23,20.41,24.13,4.34
2007-10-24,20.8,24.8,4.42
2007-10-25,21.17,25.77,4.4
2007-10-26,19.56,25.01,4.39
2007-10-29,19.87,25.83,4.38
2007-10-30,21.07,26.36,4.38
2007-10-31,18.53,23.11,4.36
2007-11-01,23.21,26.26,4.53
2007-11-02,23.01,24.83,4.65
2007-11-05,24.31,26.1,4.69
2007-11-06,21.39,23.91,4.66
2007-11-07,26.49,27.14,4.76
