date,SPX,VIX,VVIX,Skew,Realized Vol,Returns
2006-07-31,1276.66,14.95,92.79,121.64,12.68,-0.14793307357719726
2006-08-01,1270.92,15.05,92.67,119.49,12.75,-0.45062449172545677
2006-08-02,1278.55,14.34,91.34,117.98,12.67,0.5985575653026541
2006-08-03,1280.27,14.46,89.24,116.79,12.48,0.13443698728716752
2006-08-04,1279.36,14.34,90.68,117.54,12.47,-0.07110402974959398
2006-08-07,1275.77,15.23,89.58,117.02,12.29,-0.28100349980692857
2006-08-08,1271.48,15.23,88.09,118.18,12.33,-0.33683415888475426
2006-08-09,1265.95,15.2,88.09,116.27,12.37,-0.43587478316434064
2006-08-10,1271.81,14.46,88.09,118.31,11.87,0.4618254220495615
2006-08-11,1266.74,14.3,88.09,118.09,11.02,-0.39944115665418645
2006-08-14,1268.21,14.26,88.09,118.24,10.92,0.11597863190795002
2006-08-15,1285.58,13.42,88.09,118.88,11.78,1.360352093744435
2006-08-16,1295.43,12.41,57.01,120.17,12.06,0.7632707986603587
2006-08-17,1297.48,12.24,57.01,121.42,10.34,0.15812353125527145
2006-08-18,1302.3,11.64,57.01,125.35,10.03,0.3708010310603483
2006-08-21,1297.52,12.22,80.68,125.66,9.83,-0.3677181794223489
2006-08-22,1298.82,12.19,78.75,124.0,8.16,0.10014097603849917
2006-08-23,1292.99,12.4,81.15,124.2,8.07,-0.44987941499181827
2006-08-24,1296.06,12.4,79.7,123.75,8.11,0.237152734697488
2006-08-25,1295.09,12.31,81.94,125.01,7.95,-0.07487023486186153
2006-08-28,1301.78,12.18,79.47,122.64,7.14,0.5152367888948995
2006-08-29,1304.28,12.28,81.8,126.53,7.17,0.19186056858898387
2006-08-30,1304.27,12.22,80.77,125.52,7.03,-0.0007667094746140295
2006-08-31,1303.82,12.31,79.84,123.22,6.83,-0.034508011952464696
2006-09-01,1311.01,11.96,77.19,124.59,7.05,0.5499415350848496
2006-09-01,1311.01,11.96,77.19,124.59,7.05,0.0
2006-09-05,1313.25,12.63,80.18,124.31,7.1,0.17071483343975732
2006-09-06,1300.26,13.74,82.96,123.09,7.86,-0.994073638177657
2006-09-07,1294.02,13.88,86.18,121.66,7.94,-0.481059256034955
2006-09-08,1298.92,13.16,83.7,124.34,7.88,0.3779498046911472
2006-09-11,1299.54,12.99,85.78,125.99,7.74,0.04772057386033052
2006-09-12,1313.11,11.92,80.99,126.42,8.41,1.0388013724718743
2006-09-13,1318.07,11.18,81.55,120.44,8.48,0.37701760238468707
2006-09-14,1316.28,11.55,81.93,119.47,7.23,-0.13589692147820348
2006-09-15,1319.87,11.76,59.52,135.25,6.8,0.2723670670737527
2006-09-18,1321.18,11.78,80.97,127.35,6.77,0.09920297665198213
2006-09-19,1318.31,11.98,81.77,125.03,6.73,-0.21746633865312331
2006-09-20,1325.18,11.39,80.83,122.71,6.67,0.5197685988309863
2006-09-21,1318.03,12.25,85.95,119.68,6.94,-0.5410101686628527
2006-09-22,1314.78,12.59,85.74,118.86,6.79,-0.2468846328283321
2006-09-25,1326.37,12.12,82.01,120.75,7.49,0.8776536278301097
2006-09-26,1336.34,11.53,81.59,121.64,7.89,0.7488646223540676
2006-09-27,1336.59,11.58,81.08,118.43,7.69,0.018706064186407946
2006-09-28,1339.15,11.72,84.74,118.21,7.67,0.1913489936322644
2006-09-29,1335.85,11.98,84.31,120.09,7.69,-0.246729097126682
2006-10-02,1331.32,12.57,85.46,119.8,7.76,-0.33968621091628026
2006-10-03,1334.11,12.24,86.57,116.93,7.59,0.20934716116798358
2006-10-04,1350.22,11.86,82.5,118.15,8.34,1.2003139271770753
2006-10-05,1353.22,11.98,87.5,115.48,7.64,0.22193954601757887
2006-10-06,1349.58,11.56,85.63,117.34,7.5,-0.2693504662330363
2006-10-09,1350.66,11.68,84.76,116.19,7.41,0.0799928937864754
2006-10-10,1353.42,11.52,83.62,118.43,7.44,0.2041360431973092
2006-10-11,1349.95,11.62,88.4,117.16,6.6,-0.25671675765501045
2006-10-12,1362.83,11.09,86.87,117.44,7.25,0.9495865336582118
2006-10-13,1365.62,10.75,86.61,118.74,7.26,0.2045117903888818
2006-10-16,1369.05,11.09,82.29,116.54,7.27,0.25085306809748914
2006-10-17,1364.05,11.73,66.99,117.7,7.35,-0.3658853007940404
2006-10-18,1365.96,11.34,79.1,114.96,7.29,0.13992625020701072
2006-10-19,1366.96,10.9,77.71,116.8,7.31,0.07318180148924214
2006-10-20,1368.6,10.63,78.6,117.06,7.05,0.1199023378379282
2006-10-23,1377.02,11.08,84.73,115.28,7.34,0.6133424433030328
2006-10-24,1377.38,10.78,87.39,114.68,6.57,0.026139994339974562
2006-10-25,1382.22,10.66,85.9,113.72,6.17,0.35077583437895554
2006-10-26,1389.08,10.56,81.6,112.97,6.38,0.4950755249544564
2006-10-27,1377.34,10.8,82.71,111.46,6.85,-0.848755465740088
2006-10-30,1377.93,11.2,80.16,114.11,6.82,0.04282701942227028
2006-10-31,1377.94,11.1,76.4,111.48,6.75,0.0007257236371869701
2006-11-01,1367.81,11.51,78.89,112.36,7.06,-0.7378709613703157
2006-11-02,1367.34,11.42,77.08,113.08,6.11,-0.03436740249171381
2006-11-03,1364.3,11.16,75.19,112.37,6.08,-0.22257700539063957
2006-11-06,1379.78,11.16,70.46,116.76,7.13,1.1282589583801694
2006-11-07,1382.84,11.09,67.5,115.72,7.16,0.2215289291624749
2006-11-08,1385.72,10.75,62.08,115.86,7.16,0.20805046947438272
2006-11-09,1378.33,11.01,60.42,113.19,7.28,-0.5347238731926541
2006-11-10,1380.9,10.79,61.06,113.87,6.51,0.18628390842335413
2006-11-13,1384.42,10.86,36.14,113.32,6.58,0.2545818857238841
2006-11-14,1393.22,10.5,60.77,113.75,6.85,0.6336335480975379
2006-11-15,1396.57,10.31,58.58,111.63,6.8,0.24016156127632912
2006-11-16,1399.76,10.16,62.48,110.87,6.83,0.22815628940812743
2006-11-17,1401.2,10.05,64.3,117.73,6.82,0.10282189869673483
2006-11-20,1400.5,9.97,65.98,119.02,6.82,-0.04996966231685479
2006-11-21,1402.81,9.9,65.3,118.53,6.44,0.1648052140394323
2006-11-22,1406.09,10.14,63.62,120.86,6.48,0.23354348612123552
2006-11-22,1406.09,10.14,63.62,120.86,6.48,0.0
2006-11-24,1400.95,10.73,66.48,118.47,6.52,-0.36622247953419457
2006-11-27,1381.9,12.3,71.6,117.96,7.83,-1.3691214096989062
2006-11-28,1386.72,11.62,66.56,121.89,7.54,0.34818825765958683
2006-11-29,1399.48,10.83,60.3,125.38,8.13,0.9159492649209412
2006-11-30,1400.63,10.91,61.39,124.0,8.13,0.08213963484707253
2006-12-01,1396.71,11.66,62.33,126.2,7.9,-0.2802664363961991
2006-12-04,1409.12,11.23,62.11,124.81,8.5,0.884592503739639
2006-12-05,1414.76,11.27,65.87,127.14,8.61,0.3994509327143707
2006-12-06,1412.9,11.33,66.49,125.61,7.74,-0.13155756125308088
2006-12-07,1407.29,12.67,68.65,122.86,7.82,-0.397846059992964
2006-12-08,1409.84,12.07,71.34,124.71,7.8,0.18103535842812069
2006-12-11,1413.04,10.71,72.84,120.65,7.68,0.22671890910740786
2006-12-12,1411.56,10.65,74.78,124.46,7.68,-0.1047936086837734
2006-12-13,1413.21,10.18,79.06,125.76,7.61,0.11682368388626606
2006-12-14,1425.49,9.97,82.57,132.31,7.84,0.8651901646480714
2006-12-15,1427.09,10.05,84.63,129.81,7.81,0.11217916186671262
2006-12-18,1422.48,10.6,84.26,128.93,7.83,-0.32355787166683486
2006-12-19,1425.55,10.3,78.91,129.55,7.85,0.215587700204248
2006-12-20,1423.53,10.26,84.68,126.28,7.87,-0.1418001838118046
2006-12-21,1418.3,10.53,83.94,122.05,7.98,-0.36807310110549446
2006-12-22,1410.76,11.36,83.41,121.5,8.13,-0.5330405048294115
2006-12-22,1410.76,11.36,83.41,121.5,8.13,0.0
2006-12-26,1416.9,11.26,85.28,123.4,8.18,0.43428203179134334
2006-12-27,1426.84,10.64,83.01,123.48,7.14,0.699082228469479
2006-12-28,1424.73,10.99,88.72,121.7,7.07,-0.147988678874187
2006-12-29,1418.3,11.56,88.16,121.25,6.57,-0.4523350765572337
2006-12-29,1418.3,11.56,88.16,121.25,6.57,0.0
2006-12-29,1418.3,11.56,88.16,121.25,6.57,0.0
2007-01-03,1416.6,12.04,87.63,118.77,6.57,-0.11993369810396741
2007-01-04,1418.34,11.51,88.19,118.78,6.48,0.1227539361322504
2007-01-05,1409.71,12.14,90.17,117.27,6.01,-0.6103164221243997
2007-01-08,1412.84,12.0,92.04,119.44,5.86,0.22178535600830898
2007-01-09,1412.11,11.91,92.76,116.28,5.85,-0.05168233181110816
2007-01-10,1414.85,11.47,93.78,117.79,5.7,0.19384786894813752
2007-01-11,1423.82,10.87,85.97,119.13,6.14,0.6319882096763795
2007-01-12,1430.73,10.15,85.18,119.7,6.27,0.4841403021182203
2007-01-12,1430.73,10.15,85.18,119.7,6.27,0.0
2007-01-16,1431.9,10.74,85.3,120.78,6.27,0.08174301709609397
2007-01-17,1430.62,10.59,84.93,120.95,6.27,-0.08943169552090015
2007-01-18,1426.37,10.85,83.66,127.7,5.71,-0.2975161365588242
2007-01-19,1430.5,10.4,82.49,127.24,5.82,0.28912781310015917
2007-01-22,1422.95,10.77,84.43,121.13,5.96,-0.5291852052066928
2007-01-23,1427.99,10.34,81.48,122.77,6.01,0.3535679635791376
2007-01-24,1440.13,9.89,77.51,124.34,6.65,0.8465526199141198
2007-01-25,1423.9,11.22,80.45,119.49,7.53,-1.1333801486081785
2007-01-26,1422.18,11.13,81.36,120.26,7.35,-0.12086801561423474
2007-01-29,1420.62,11.45,81.68,117.83,7.2,-0.10975096078435123
2007-01-30,1428.82,10.96,78.9,119.53,7.05,0.5755532761662063
2007-01-31,1438.24,10.42,77.28,118.58,7.4,0.6571215040463959
2007-02-01,1445.94,10.31,73.5,119.57,7.44,0.5339485256796659
2007-02-02,1448.39,10.08,72.44,121.7,7.46,0.16929656156476677
2007-02-05,1446.99,10.55,70.29,122.48,7.45,-0.09670579399642715
2007-02-06,1448.0,10.65,68.55,122.78,7.18,0.06977571880923032
2007-02-07,1450.02,10.32,70.32,122.94,7.14,0.13940554772826375
2007-02-08,1448.31,10.44,73.18,122.69,7.14,-0.1179989993143451
2007-02-09,1438.06,11.1,74.39,121.02,7.52,-0.710237640173229
2007-02-12,1433.37,11.61,79.12,119.81,7.22,-0.32666679463741255
2007-02-13,1444.26,10.34,75.72,125.32,7.48,0.7568764564710787
2007-02-14,1455.3,10.23,74.0,123.09,7.87,0.7614985272875215
2007-02-15,1456.81,10.22,70.34,120.55,7.89,0.10370488307995768
2007-02-16,1455.54,10.02,70.74,121.01,7.79,-0.08721479770640367
2007-02-16,1455.54,10.02,70.74,121.01,7.79,0.0
2007-02-20,1459.68,10.24,65.87,120.99,7.79,0.2840267824148074
2007-02-21,1457.63,10.2,67.37,119.1,7.67,-0.14054045250065575
2007-02-22,1456.38,10.18,66.05,119.58,7.6,-0.08579243562446137
2007-02-23,1451.19,10.58,70.71,117.71,7.13,-0.3569995227735429
2007-02-26,1449.37,11.15,70.33,117.81,6.04,-0.12549302471607773
2007-02-27,1399.04,18.31,110.42,112.5,13.72,-3.5342692132952407
2007-02-28,1406.82,15.42,91.64,121.36,13.81,0.554555105263509
2007-03-01,1403.17,15.82,99.47,120.99,13.71,-0.259787547486464
2007-03-02,1387.17,18.61,104.17,118.76,14.0,-1.1468262190986938
2007-03-05,1374.12,19.63,101.2,118.07,14.22,-0.9452174281599582
2007-03-06,1395.41,15.96,93.65,121.14,14.93,1.5374752670107978
2007-03-07,1391.97,15.24,94.41,119.49,14.95,-0.24682689453708984
2007-03-08,1401.89,14.29,93.97,121.08,15.13,0.7101316234660379
2007-03-09,1402.85,14.09,91.82,121.96,15.13,0.06845554578957194
2007-03-12,1406.6,13.99,90.02,126.35,15.17,0.26695632433766825
2007-03-13,1377.95,18.13,94.53,130.04,16.62,-2.057855742885797
2007-03-14,1387.17,17.27,98.08,134.25,16.75,0.6668813049787978
2007-03-15,1392.28,16.43,99.55,136.15,16.6,0.3676990596971274
2007-03-16,1386.95,16.79,102.74,128.3,16.47,-0.3835599453445597
2007-03-19,1402.06,14.59,93.9,122.84,16.88,1.0835492046144908
2007-03-20,1410.94,13.27,89.55,127.35,17.01,0.6313565230855894
2007-03-21,1435.04,12.19,94.13,130.07,17.87,1.6936574454318394
2007-03-22,1434.54,12.93,95.52,124.99,17.86,-0.0348483056795814
2007-03-23,1436.11,12.95,96.37,125.64,17.86,0.10938290328232003
2007-03-26,1437.5,13.16,95.95,126.45,17.82,0.09674243257850866
2007-03-27,1428.61,13.48,101.0,122.89,17.94,-0.6203550115129569
2007-03-28,1417.23,14.98,104.79,121.28,13.35,-0.7997681287838405
2007-03-29,1422.53,15.14,102.31,121.4,13.31,0.373271414049681
2007-03-30,1420.86,14.64,99.78,120.89,13.3,-0.11746543330489272
2007-04-02,1424.55,14.53,98.92,122.62,12.81,0.25936522810858775
2007-04-03,1437.77,13.46,94.98,124.18,12.76,0.9237327764279839
2007-04-04,1439.37,13.24,96.12,123.94,11.9,0.11122157176475703
2007-04-05,1443.76,13.23,93.6,125.4,11.94,0.30453038140440686
2007-04-05,1443.76,13.23,93.6,125.4,11.94,0.0
2007-04-09,1444.61,13.14,92.3,125.32,11.72,0.05885672711857691
2007-04-10,1448.39,12.68,87.37,125.94,11.74,0.26132057733051894
2007-04-11,1438.87,13.49,93.47,127.03,11.91,-0.6594511405361859
2007-04-12,1447.8,12.71,91.38,126.92,9.72,0.6187079566869298
2007-04-13,1452.85,12.2,88.71,128.62,9.52,0.3481981695319881
2007-04-16,1468.47,11.98,83.98,125.49,10.12,1.069389786644563
2007-04-17,1471.48,12.14,83.68,130.62,10.06,0.20476545871299917
2007-04-18,1472.5,12.42,80.59,130.35,9.35,0.0692939517805177
2007-04-19,1470.73,12.54,77.91,126.11,9.1,-0.120276037780142
2007-04-20,1484.35,12.07,79.18,128.37,7.93,0.9218089827972576
2007-04-23,1480.93,13.04,79.33,123.55,7.95,-0.23066971863989105
2007-04-24,1480.41,13.12,77.83,124.17,7.94,-0.03511923692278205
2007-04-25,1495.42,13.21,80.79,122.68,8.55,1.0088027404093753
2007-04-26,1494.25,12.79,81.67,123.25,8.3,-0.07826951200163834
2007-04-27,1494.07,12.45,80.66,124.73,7.78,-0.012046902622057603
2007-04-30,1482.37,14.22,85.33,123.37,8.1,-0.7861781364552289
2007-05-01,1486.3,13.51,81.28,125.45,8.13,0.26476518412585975
2007-05-02,1495.92,13.08,82.59,123.14,8.38,0.6451592013855597
2007-05-03,1502.39,13.09,78.81,123.03,7.99,0.4315771246102824
2007-05-04,1505.62,12.91,77.1,123.11,8.03,0.2147600068780669
2007-05-07,1509.48,13.15,78.51,123.3,7.99,0.25604471551929586
2007-05-08,1507.72,13.21,79.9,120.74,7.98,-0.11666447034482517
2007-05-09,1512.58,12.88,85.89,121.24,8.01,0.3218226132884731
2007-05-10,1491.47,13.6,83.58,119.5,9.0,-1.4054591294918806
2007-05-11,1505.85,12.95,79.47,121.66,9.36,0.959531203234632
2007-05-14,1503.15,13.96,82.02,119.78,9.3,-0.17946166331975535
2007-05-15,1501.19,14.01,76.68,121.17,8.58,-0.13047792713652154
2007-05-16,1514.14,13.5,70.26,123.4,8.98,0.8589494098609994
2007-05-17,1512.75,13.51,72.94,123.34,8.98,-0.09184344972615331
2007-05-18,1522.75,12.76,75.43,126.75,9.29,0.6588724214163112
2007-05-21,1525.1,13.3,71.82,126.22,8.66,0.15420709455439238
2007-05-22,1524.12,13.06,72.36,124.74,8.64,-0.06427873579096997
2007-05-23,1522.28,13.24,71.44,123.17,8.67,-0.12079833401703893
2007-05-24,1507.51,14.08,74.36,121.71,8.68,-0.9749927885548161
2007-05-25,1515.73,13.34,72.42,124.0,8.85,0.5437887998219665
2007-05-25,1515.73,13.34,72.42,124.0,8.85,0.0
2007-05-29,1518.11,13.53,72.48,124.05,8.88,0.15689690215897512
2007-05-30,1530.23,12.83,71.61,124.69,8.87,0.7951910787606866
2007-05-31,1530.62,13.05,72.2,123.84,8.84,0.025483117572593077
2007-06-01,1536.34,12.78,70.19,124.23,8.63,0.37300823174132985
2007-06-04,1539.18,13.29,70.74,122.26,8.55,0.18468426849634983
2007-06-05,1530.95,13.63,69.24,122.93,8.65,-0.5361349332848856
2007-06-06,1517.38,14.87,72.06,119.29,9.13,-0.8903294354294681
2007-06-07,1490.72,17.06,75.83,117.52,11.24,-1.7725938674770216
2007-06-08,1507.67,14.84,70.69,122.08,11.84,1.1306188027129123
2007-06-11,1509.12,14.71,68.73,119.71,10.88,0.09612867396528205
2007-06-12,1493.0,16.67,69.48,119.51,10.97,-1.0739180929706307
2007-06-13,1515.67,14.73,68.81,121.59,12.07,1.5070066867546437
2007-06-14,1522.97,13.64,63.52,122.42,12.18,0.48047903298739786
2007-06-15,1532.91,13.94,64.03,121.63,12.12,0.6505513996924116
2007-06-18,1531.05,13.42,66.76,120.46,12.11,-0.12141152159179064
2007-06-19,1533.7,12.85,67.24,123.38,11.88,0.17293421391170744
2007-06-20,1512.84,14.67,76.8,117.56,12.9,-1.3694437625555844
2007-06-21,1522.19,14.21,74.76,117.97,13.09,0.6161408341564246
2007-06-22,1502.56,15.75,78.35,116.52,13.74,-1.2979767316439046
2007-06-25,1497.74,16.65,78.07,116.87,13.44,-0.32130147962474664
2007-06-26,1492.89,18.89,82.01,116.03,13.37,-0.3243466595241122
2007-06-27,1506.34,15.53,78.48,118.01,13.67,0.8969028826472482
2007-06-28,1505.71,15.54,76.04,117.47,13.42,-0.04183197551082891
2007-06-29,1503.35,16.23,76.94,115.72,13.46,-0.1568596494518186
2007-07-02,1519.43,15.4,75.56,119.68,14.04,1.0639313268578126
2007-07-03,1524.87,14.92,74.63,119.87,14.07,0.35738959959952077
2007-07-03,1524.87,14.92,74.63,119.87,14.07,0.0
2007-07-05,1525.4,15.48,75.86,120.59,13.99,0.03475102239039585
2007-07-06,1530.44,14.72,74.85,120.85,13.69,0.32986050119985877
2007-07-09,1531.85,15.16,73.05,120.63,12.02,0.09208795376283511
2007-07-10,1510.12,17.57,79.99,117.48,12.39,-1.4287037429708918
2007-07-11,1518.76,16.64,81.55,121.69,12.53,0.5705094579265149
2007-07-12,1547.7,15.54,76.6,119.99,13.61,1.8875745489392166
2007-07-13,1552.5,15.15,76.65,119.59,12.67,0.30965768889199313
2007-07-16,1549.52,15.59,72.56,117.88,12.57,-0.19213292736500157
2007-07-17,1549.37,15.63,72.41,117.99,12.33,-0.009680885744073471
2007-07-18,1546.17,16.0,73.57,120.35,12.36,-0.20674913842960427
2007-07-19,1553.08,15.23,72.02,119.24,12.42,0.4459150729938324
2007-07-20,1534.1,16.95,73.76,117.4,12.07,-1.2296166171457572
2007-07-23,1541.57,16.81,74.56,118.84,12.0,0.48574877590889015
2007-07-24,1511.04,18.55,79.32,116.13,13.0,-2.0003222152723077
2007-07-25,1518.09,18.1,75.31,116.39,12.97,0.4654810278535221
2007-07-26,1482.66,20.74,87.38,116.27,14.81,-2.361519388630663
2007-07-27,1458.95,24.17,97.23,113.23,15.99,-1.6120772961745986
2007-07-30,1473.91,20.87,97.45,115.42,16.4,1.0201734652928924
2007-07-31,1455.27,23.52,104.08,115.53,16.93,-1.2727283140030712
2007-08-01,1465.81,23.67,108.86,119.94,16.62,0.7216540281130251
2007-08-02,1472.2,21.22,100.8,119.05,16.62,0.43498899430010096
2007-08-03,1433.06,25.16,104.05,117.3,18.98,-2.6945862470593616
2007-08-06,1467.67,22.94,95.22,118.81,20.64,2.3864091109794745
2007-08-07,1476.71,21.56,85.96,116.92,20.76,0.6140531049158308
2007-08-08,1497.49,21.45,82.52,120.92,20.67,1.3973732858015566
2007-08-09,1453.09,26.48,99.87,115.3,22.59,-3.0098049706837764
2007-08-10,1453.64,28.3,108.91,116.04,21.66,0.037843212583485025
2007-08-13,1452.92,26.57,108.57,119.5,21.64,-0.0495431035125495
