,Instrument,Company Common Name,Date,Price Close,Close Price
237,9888.HK,,,,
238,9888.HK,,,,
239,9888.HK,,,,
240,9888.HK,,,,
241,9888.HK,,,,
242,9888.HK,,,,
243,9888.HK,,,,
244,9888.HK,,,,
245,9888.HK,,,,
246,9888.HK,,,,
247,9888.HK,,,,
248,9888.HK,,,,
249,9888.HK,,,,
250,9888.HK,,,,
251,9888.HK,,,,
252,9888.HK,,,,
253,9888.HK,,,,
254,9888.HK,,,,
255,9888.HK,,,,
256,9888.HK,,,,
257,9888.HK,,,,
258,9888.HK,,,,
259,9888.HK,,,,
260,9888.HK,,,,
261,9888.HK,,,,
262,9888.HK,,,,
263,9888.HK,,,,
264,9888.HK,,,,
265,9888.HK,,,,
266,9888.HK,,,,
267,9888.HK,,,,
268,9888.HK,,,,
269,9888.HK,,,,
270,9888.HK,,,,
271,9888.HK,,,,
272,9888.HK,,,,
273,9888.HK,,,,
274,9888.HK,,,,
275,9888.HK,,,,
276,9888.HK,,,,
277,9888.HK,,,,
278,9888.HK,,,,
279,9888.HK,,,,
280,9888.HK,,,,
281,9888.HK,,,,
282,9888.HK,,,,
283,9888.HK,,,,
284,9888.HK,,,,
285,9888.HK,,,,
286,9888.HK,,,,
287,9888.HK,,,,
288,9888.HK,,,,
289,9888.HK,,,,
290,9888.HK,,,,
291,9888.HK,,,,
292,9888.HK,,,,
293,9888.HK,,,,
294,9888.HK,,,,
295,9888.HK,,,,
296,9888.HK,,,,
297,9888.HK,,,,
298,9888.HK,,,,
299,9888.HK,,,,
300,9888.HK,,,,
301,9888.HK,,,,
302,9888.HK,,,,
303,9888.HK,,,,
304,9888.HK,,,,
305,9888.HK,,,,
306,9888.HK,,,,
307,9888.HK,,,,
308,9888.HK,,,,
309,9888.HK,,,,
310,9888.HK,,,,
311,9888.HK,,,,
312,9888.HK,,,,
313,9888.HK,,,,
314,9888.HK,,,,
315,9888.HK,,,,
316,9888.HK,,,,
317,9888.HK,,,,
318,9888.HK,,,,
319,9888.HK,,,,
320,9888.HK,,,,
321,9888.HK,,,,
322,9888.HK,,,,
323,9888.HK,,,,
324,9888.HK,,,,
325,9888.HK,,,,
326,9888.HK,,,,
327,9888.HK,,,,
328,9888.HK,,,,
329,9888.HK,,,,
330,9888.HK,,,,
331,9888.HK,,,,
332,9888.HK,,,,
333,9888.HK,,,,
334,9888.HK,,,,
335,9888.HK,,,,
336,9888.HK,,,,
337,9888.HK,,,,
338,9888.HK,,,,
339,9888.HK,,,,
340,9888.HK,,,,
341,9888.HK,,,,
342,9888.HK,,,,
343,9888.HK,,,,
344,9888.HK,,,,
345,9888.HK,,,,
346,9888.HK,,,,
347,9888.HK,,,,
348,9888.HK,,,,
349,9888.HK,,,,
350,9888.HK,,,,
351,9888.HK,,,,
352,9888.HK,,,,
353,9888.HK,,,,
354,9888.HK,,,,
355,9888.HK,,,,
356,9888.HK,,,,
357,9888.HK,,,,
358,9888.HK,,,,
359,9888.HK,,,,
360,9888.HK,,,,
361,9888.HK,,,,
362,9888.HK,,,,
363,9888.HK,,,,
364,9888.HK,,,,
365,9888.HK,,,,
366,9888.HK,,,,
367,9888.HK,,,,
368,9888.HK,,,,
369,9888.HK,,,,
370,9888.HK,,,,
371,9888.HK,,,,
372,9888.HK,,,,
373,9888.HK,,,,
374,9888.HK,,,,
375,9888.HK,,,,
376,9888.HK,,,,
377,9888.HK,,,,
378,9888.HK,,,,
379,9888.HK,,,,
380,9888.HK,,,,
381,9888.HK,,,,
382,9888.HK,,,,
383,9888.HK,,,,
384,9888.HK,,,,
385,9888.HK,,,,
386,9888.HK,,,,
387,9888.HK,,,,
388,9888.HK,,,,
389,9888.HK,,,,
390,9888.HK,,,,
391,9888.HK,,,,
392,9888.HK,,,,
393,9888.HK,,,,
394,9888.HK,,,,
395,9888.HK,,,,
396,9888.HK,,,,
397,9888.HK,,,,
398,9888.HK,,,,
399,9888.HK,,,,
400,9888.HK,,,,
401,9888.HK,,,,
402,9888.HK,,,,
403,9888.HK,,,,
404,9888.HK,,,,
405,9888.HK,,,,
406,9888.HK,,,,
407,9888.HK,,,,
408,9888.HK,,,,
409,9888.HK,,,,
410,9888.HK,,,,
411,9888.HK,,,,
412,9888.HK,,,,
413,9888.HK,,,,
414,9888.HK,,,,
415,9888.HK,,,,
416,9888.HK,,,,
417,9888.HK,,,,
418,9888.HK,,,,
419,9888.HK,,,,
420,9888.HK,,,,
421,9888.HK,,,,
422,9888.HK,,,,
423,9888.HK,,,,
424,9888.HK,,,,
425,9888.HK,,,,
426,9888.HK,,,,
427,9888.HK,,,,
428,9888.HK,,,,
429,9888.HK,,,,
430,9888.HK,,,,
431,9888.HK,,,,
432,9888.HK,,,,
433,9888.HK,,,,
434,9888.HK,,,,
435,9888.HK,,,,
436,9888.HK,,,,
437,9888.HK,,,,
438,9888.HK,,,,
439,9888.HK,,,,
440,9888.HK,,,,
441,9888.HK,,,,
442,9888.HK,,,,
443,9888.HK,,,,
444,9888.HK,,,,
445,9888.HK,,,,
446,9888.HK,,,,
447,9888.HK,,,,
448,9888.HK,,,,
449,9888.HK,,,,
450,9888.HK,,,,
451,9888.HK,,,,
452,9888.HK,,,,
453,9888.HK,,,,
454,9888.HK,,,,
455,9888.HK,,,,
456,9888.HK,,,,
457,9888.HK,,,,
458,9888.HK,,,,
459,9888.HK,,,,
460,9888.HK,,,,
461,9888.HK,,,,
462,9888.HK,,,,
463,9888.HK,,,,
464,9888.HK,,,,
465,9888.HK,,,,
466,9888.HK,,,,
467,9888.HK,,,,
468,9888.HK,,,,
469,9888.HK,,,,
470,9888.HK,,,,
471,9888.HK,,,,
472,9888.HK,,,,
473,9888.HK,,,,
474,9888.HK,,,,
475,9888.HK,,,,
476,9888.HK,,,,
477,9888.HK,,,,
478,9888.HK,,,,
479,9888.HK,,,,
480,9888.HK,,,,
481,9888.HK,,,,
482,9888.HK,,,,
483,9888.HK,,,,
484,9888.HK,,,,
485,9888.HK,,,,
486,9888.HK,,,,
487,9888.HK,,,,
488,9888.HK,,,,
489,9888.HK,,,,
490,9888.HK,,,,
491,9888.HK,,,,
492,9888.HK,,,,
493,9888.HK,,,,
494,9888.HK,,,,
495,9888.HK,,,,
496,9888.HK,,,,
497,9888.HK,,,,
498,9888.HK,,,,
499,9888.HK,,,,
500,9888.HK,,,,
501,9888.HK,,,,
502,9888.HK,,,,
503,9888.HK,,,,
504,9888.HK,,,,
505,9888.HK,,,,
506,9888.HK,,,,
507,9888.HK,,,,
508,9888.HK,,,,
509,9888.HK,,,,
510,9888.HK,,,,
511,9888.HK,,,,
512,9888.HK,,,,
513,9888.HK,,,,
514,9888.HK,,,,
515,9888.HK,,,,
516,9888.HK,,,,
517,9888.HK,,,,
518,9888.HK,,,,
519,9888.HK,,,,
520,9888.HK,,,,
521,9888.HK,,,,
522,9888.HK,,,,
523,9888.HK,,,,
524,9888.HK,,,,
525,9888.HK,,,,
526,9888.HK,,,,
527,9888.HK,,,,
528,9888.HK,,,,
529,9888.HK,,,,
530,9888.HK,,,,
531,9888.HK,,,,
532,9888.HK,,,,
533,9888.HK,,,,
534,9888.HK,,,,
535,9888.HK,,,,
536,9888.HK,,,,
537,9888.HK,,,,
538,9888.HK,,,,
539,9888.HK,,,,
540,9888.HK,,,,
541,9888.HK,,,,
542,9888.HK,,,,
543,9888.HK,,,,
544,9888.HK,,,,
545,9888.HK,,,,
546,9888.HK,,,,
547,9888.HK,,,,
548,9888.HK,,,,
549,9888.HK,,2021-03-23T00:00:00Z,252.0,252.0
550,9888.HK,,2021-03-24T00:00:00Z,250.8,250.8
551,9888.HK,,2021-03-25T00:00:00Z,226.6,226.6
552,9888.HK,,2021-03-26T00:00:00Z,214.0,214.0
553,9888.HK,,2021-03-29T00:00:00Z,203.4,203.4
554,9888.HK,,2021-03-30T00:00:00Z,201.8,201.8
555,9888.HK,,2021-03-31T00:00:00Z,213.0,213.0
556,9888.HK,,2021-04-01T00:00:00Z,218.2,218.2
557,9888.HK,,2021-04-07T00:00:00Z,221.4,221.4
558,9888.HK,,2021-04-08T00:00:00Z,218.6,218.6
559,9888.HK,,2021-04-09T00:00:00Z,218.0,218.0
560,9888.HK,,2021-04-12T00:00:00Z,210.0,210.0
561,9888.HK,,2021-04-13T00:00:00Z,205.4,205.4
562,9888.HK,,2021-04-14T00:00:00Z,212.0,212.0
563,9888.HK,,2021-04-15T00:00:00Z,210.4,210.4
564,9888.HK,,2021-04-16T00:00:00Z,207.0,207.0
565,9888.HK,,2021-04-19T00:00:00Z,210.6,210.6
566,9888.HK,,2021-04-20T00:00:00Z,205.2,205.2
567,9888.HK,,2021-04-21T00:00:00Z,201.6,201.6
568,9888.HK,,2021-04-22T00:00:00Z,208.0,208.0
569,9888.HK,,2021-04-23T00:00:00Z,210.4,210.4
570,9888.HK,,2021-04-26T00:00:00Z,214.6,214.6
571,9888.HK,,2021-04-27T00:00:00Z,211.2,211.2
572,9888.HK,,2021-04-28T00:00:00Z,211.8,211.8
573,9888.HK,,2021-04-29T00:00:00Z,210.8,210.8
574,9888.HK,,2021-04-30T00:00:00Z,205.8,205.8
575,9888.HK,,2021-05-03T00:00:00Z,204.4,204.4
576,9888.HK,,2021-05-04T00:00:00Z,201.4,201.4
577,9888.HK,,2021-05-05T00:00:00Z,194.3,194.3
578,9888.HK,,2021-05-06T00:00:00Z,189.7,189.7
579,9888.HK,,2021-05-07T00:00:00Z,185.5,185.5
580,9888.HK,,2021-05-10T00:00:00Z,183.0,183.0
581,9888.HK,,2021-05-11T00:00:00Z,176.6,176.6
582,9888.HK,,2021-05-12T00:00:00Z,184.0,184.0
583,9888.HK,,2021-05-13T00:00:00Z,178.8,178.8
584,9888.HK,,2021-05-14T00:00:00Z,176.1,176.1
585,9888.HK,,2021-05-17T00:00:00Z,183.0,183.0
586,9888.HK,,2021-05-18T00:00:00Z,186.7,186.7
587,9888.HK,,2021-05-20T00:00:00Z,186.0,186.0
588,9888.HK,,2021-05-21T00:00:00Z,188.7,188.7
589,9888.HK,,2021-05-24T00:00:00Z,184.0,184.0
590,9888.HK,,2021-05-25T00:00:00Z,187.4,187.4
591,9888.HK,,2021-05-26T00:00:00Z,189.4,189.4
592,9888.HK,,2021-05-27T00:00:00Z,189.6,189.6
593,9888.HK,,2021-05-28T00:00:00Z,187.8,187.8
594,9888.HK,,2021-05-31T00:00:00Z,192.5,192.5
595,9888.HK,,2021-06-01T00:00:00Z,195.5,195.5
596,9888.HK,,2021-06-02T00:00:00Z,196.2,196.2
597,9888.HK,,2021-06-03T00:00:00Z,190.5,190.5
598,9888.HK,,2021-06-04T00:00:00Z,184.6,184.6
599,9888.HK,,2021-06-07T00:00:00Z,185.2,185.2
600,9888.HK,,2021-06-08T00:00:00Z,184.2,184.2
601,9888.HK,,2021-06-09T00:00:00Z,183.7,183.7
602,9888.HK,,2021-06-10T00:00:00Z,182.5,182.5
603,9888.HK,,2021-06-11T00:00:00Z,183.1,183.1
604,9888.HK,,2021-06-15T00:00:00Z,183.6,183.6
605,9888.HK,,2021-06-16T00:00:00Z,180.6,180.6
606,9888.HK,,2021-06-17T00:00:00Z,179.8,179.8
607,9888.HK,,2021-06-18T00:00:00Z,181.4,181.4
608,9888.HK,,2021-06-21T00:00:00Z,181.0,181.0
609,9888.HK,,2021-06-22T00:00:00Z,179.0,179.0
610,9888.HK,,2021-06-23T00:00:00Z,182.7,182.7
611,9888.HK,,2021-06-24T00:00:00Z,185.0,185.0
612,9888.HK,,2021-06-25T00:00:00Z,190.5,190.5
613,9888.HK,,2021-06-28T00:00:00Z,196.7,196.7
614,9888.HK,,2021-06-29T00:00:00Z,197.2,197.2
615,9888.HK,,2021-06-30T00:00:00Z,199.4,199.4
616,9888.HK,,2021-07-02T00:00:00Z,193.3,193.3
617,9888.HK,,2021-07-05T00:00:00Z,185.3,185.3
618,9888.HK,,2021-07-06T00:00:00Z,185.9,185.9
619,9888.HK,,2021-07-07T00:00:00Z,181.9,181.9
620,9888.HK,,2021-07-08T00:00:00Z,173.5,173.5
621,9888.HK,,2021-07-09T00:00:00Z,174.4,174.4
622,9888.HK,,2021-07-12T00:00:00Z,175.0,175.0
623,9888.HK,,2021-07-13T00:00:00Z,180.8,180.8
624,9888.HK,,2021-07-14T00:00:00Z,179.5,179.5
625,9888.HK,,2021-07-15T00:00:00Z,178.6,178.6
626,9888.HK,,2021-07-16T00:00:00Z,179.3,179.3
627,9888.HK,,2021-07-19T00:00:00Z,172.5,172.5
628,9888.HK,,2021-07-20T00:00:00Z,171.9,171.9
629,9888.HK,,2021-07-21T00:00:00Z,172.1,172.1
630,9888.HK,,2021-07-22T00:00:00Z,175.4,175.4
631,9888.HK,,2021-07-23T00:00:00Z,171.8,171.8
632,9888.HK,,2021-07-26T00:00:00Z,160.0,160.0
633,9888.HK,,2021-07-27T00:00:00Z,148.3,148.3
634,9888.HK,,2021-07-28T00:00:00Z,153.3,153.3
635,9888.HK,,2021-07-29T00:00:00Z,164.8,164.8
636,9888.HK,,2021-07-30T00:00:00Z,158.2,158.2
637,9888.HK,,2021-08-02T00:00:00Z,161.6,161.6
638,9888.HK,,2021-08-03T00:00:00Z,161.1,161.1
639,9888.HK,,2021-08-04T00:00:00Z,161.7,161.7
640,9888.HK,,2021-08-05T00:00:00Z,159.2,159.2
641,9888.HK,,2021-08-06T00:00:00Z,161.0,161.0
642,9888.HK,,2021-08-09T00:00:00Z,159.3,159.3
643,9888.HK,,2021-08-10T00:00:00Z,164.0,164.0
644,9888.HK,,2021-08-11T00:00:00Z,162.4,162.4
645,9888.HK,,2021-08-12T00:00:00Z,159.0,159.0
646,9888.HK,,2021-08-13T00:00:00Z,154.1,154.1
647,9888.HK,,2021-08-16T00:00:00Z,146.7,146.7
648,9888.HK,,2021-08-17T00:00:00Z,138.7,138.7
649,9888.HK,,2021-08-18T00:00:00Z,139.4,139.4
650,9888.HK,,2021-08-19T00:00:00Z,136.0,136.0
651,9888.HK,,2021-08-20T00:00:00Z,133.5,133.5
652,9888.HK,,2021-08-23T00:00:00Z,134.6,134.6
653,9888.HK,,2021-08-24T00:00:00Z,146.2,146.2
654,9888.HK,,2021-08-25T00:00:00Z,149.9,149.9
655,9888.HK,,2021-08-26T00:00:00Z,148.9,148.9
656,9888.HK,,2021-08-27T00:00:00Z,150.5,150.5
657,9888.HK,,2021-08-30T00:00:00Z,151.8,151.8
658,9888.HK,,2021-08-31T00:00:00Z,152.8,152.8
659,9888.HK,,2021-09-01T00:00:00Z,154.6,154.6
660,9888.HK,,2021-09-02T00:00:00Z,163.2,163.2
661,9888.HK,,2021-09-03T00:00:00Z,158.6,158.6
662,9888.HK,,2021-09-06T00:00:00Z,161.8,161.8
663,9888.HK,,2021-09-07T00:00:00Z,164.6,164.6
664,9888.HK,,2021-09-08T00:00:00Z,163.6,163.6
665,9888.HK,,2021-09-09T00:00:00Z,156.0,156.0
666,9888.HK,,2021-09-10T00:00:00Z,162.1,162.1
667,9888.HK,,2021-09-13T00:00:00Z,157.5,157.5
668,9888.HK,,2021-09-14T00:00:00Z,156.0,156.0
669,9888.HK,,2021-09-15T00:00:00Z,154.1,154.1
670,9888.HK,,2021-09-16T00:00:00Z,155.4,155.4
671,9888.HK,,2021-09-17T00:00:00Z,159.1,159.1
672,9888.HK,,2021-09-20T00:00:00Z,156.4,156.4
673,9888.HK,,2021-09-21T00:00:00Z,153.4,153.4
674,9888.HK,,2021-09-23T00:00:00Z,156.5,156.5
675,9888.HK,,2021-09-24T00:00:00Z,154.8,154.8
676,9888.HK,,2021-09-27T00:00:00Z,153.2,153.2
677,9888.HK,,2021-09-28T00:00:00Z,153.3,153.3
678,9888.HK,,2021-09-29T00:00:00Z,151.4,151.4
679,9888.HK,,2021-09-30T00:00:00Z,148.4,148.4
680,9888.HK,,2021-10-04T00:00:00Z,145.9,145.9
681,9888.HK,,2021-10-05T00:00:00Z,143.8,143.8
682,9888.HK,,2021-10-06T00:00:00Z,143.3,143.3
683,9888.HK,,2021-10-07T00:00:00Z,150.3,150.3
684,9888.HK,,2021-10-08T00:00:00Z,152.9,152.9
685,9888.HK,,2021-10-11T00:00:00Z,162.7,162.7
686,9888.HK,,2021-10-12T00:00:00Z,156.2,156.2
687,9888.HK,,2021-10-15T00:00:00Z,161.0,161.0
688,9888.HK,,2021-10-18T00:00:00Z,167.7,167.7
689,9888.HK,,2021-10-19T00:00:00Z,169.3,169.3
690,9888.HK,,2021-10-20T00:00:00Z,177.1,177.1
691,9888.HK,,2021-10-21T00:00:00Z,175.5,175.5
692,9888.HK,,2021-10-22T00:00:00Z,177.6,177.6
693,9888.HK,,2021-10-25T00:00:00Z,172.2,172.2
694,9888.HK,,2021-10-26T00:00:00Z,169.6,169.6
695,9888.HK,,2021-10-27T00:00:00Z,163.1,163.1
696,9888.HK,,2021-10-28T00:00:00Z,163.5,163.5
697,9888.HK,,2021-10-29T00:00:00Z,162.0,162.0
698,9888.HK,,2021-11-01T00:00:00Z,157.1,157.1
699,9888.HK,,2021-11-02T00:00:00Z,161.9,161.9
700,9888.HK,,2021-11-03T00:00:00Z,158.1,158.1
701,9888.HK,,2021-11-04T00:00:00Z,162.0,162.0
702,9888.HK,,2021-11-05T00:00:00Z,159.7,159.7
703,9888.HK,,2021-11-08T00:00:00Z,155.9,155.9
704,9888.HK,,2021-11-09T00:00:00Z,157.5,157.5
705,9888.HK,,2021-11-10T00:00:00Z,161.3,161.3
706,9888.HK,,2021-11-11T00:00:00Z,160.5,160.5
707,9888.HK,,2021-11-12T00:00:00Z,164.8,164.8
708,9888.HK,,2021-11-15T00:00:00Z,166.5,166.5
709,9888.HK,,2021-11-16T00:00:00Z,168.9,168.9
710,9888.HK,,2021-11-17T00:00:00Z,169.7,169.7
711,9888.HK,,2021-11-18T00:00:00Z,156.4,156.4
712,9888.HK,,2021-11-19T00:00:00Z,151.3,151.3
713,9888.HK,,2021-11-22T00:00:00Z,148.1,148.1
714,9888.HK,,2021-11-23T00:00:00Z,144.6,144.6
715,9888.HK,,2021-11-24T00:00:00Z,145.9,145.9
716,9888.HK,,2021-11-25T00:00:00Z,152.4,152.4
717,9888.HK,,2021-11-26T00:00:00Z,147.7,147.7
718,9888.HK,,2021-11-29T00:00:00Z,148.8,148.8
719,9888.HK,,2021-11-30T00:00:00Z,145.0,145.0
720,9888.HK,,2021-12-01T00:00:00Z,147.7,147.7
721,9888.HK,,2021-12-02T00:00:00Z,147.3,147.3
722,9888.HK,,2021-12-03T00:00:00Z,143.0,143.0
723,9888.HK,,2021-12-06T00:00:00Z,134.8,134.8
724,9888.HK,,2021-12-07T00:00:00Z,148.0,148.0
725,9888.HK,,2021-12-08T00:00:00Z,145.0,145.0
726,9888.HK,,2021-12-09T00:00:00Z,147.2,147.2
727,9888.HK,,2021-12-10T00:00:00Z,145.9,145.9
728,9888.HK,,2021-12-13T00:00:00Z,145.2,145.2
729,9888.HK,,2021-12-14T00:00:00Z,140.3,140.3
730,9888.HK,,2021-12-15T00:00:00Z,136.5,136.5
731,9888.HK,,2021-12-16T00:00:00Z,139.1,139.1
732,9888.HK,,2021-12-17T00:00:00Z,137.9,137.9
733,9888.HK,,2021-12-20T00:00:00Z,135.6,135.6
734,9888.HK,,2021-12-21T00:00:00Z,136.6,136.6
735,9888.HK,,2021-12-22T00:00:00Z,139.0,139.0
736,9888.HK,,2021-12-23T00:00:00Z,138.6,138.6
737,9888.HK,,2021-12-24T00:00:00Z,139.1,139.1
738,9888.HK,,2021-12-28T00:00:00Z,139.6,139.6
739,9888.HK,,2021-12-29T00:00:00Z,136.7,136.7
740,9888.HK,,2021-12-30T00:00:00Z,133.5,133.5
741,9888.HK,,2021-12-31T00:00:00Z,144.6,144.6
742,9888.HK,,2022-01-03T00:00:00Z,143.6,143.6
743,9888.HK,,2022-01-04T00:00:00Z,144.9,144.9
744,9888.HK,,2022-01-05T00:00:00Z,139.1,139.1
745,9888.HK,,2022-01-06T00:00:00Z,142.0,142.0
746,9888.HK,,2022-01-07T00:00:00Z,149.0,149.0
747,9888.HK,,2022-01-10T00:00:00Z,151.8,151.8
748,9888.HK,,2022-01-11T00:00:00Z,146.5,146.5
749,9888.HK,,2022-01-12T00:00:00Z,155.4,155.4
750,9888.HK,,2022-01-13T00:00:00Z,153.0,153.0
751,9888.HK,,2022-01-14T00:00:00Z,149.9,149.9
752,9888.HK,,2022-01-17T00:00:00Z,147.5,147.5
753,9888.HK,,2022-01-18T00:00:00Z,147.8,147.8
754,9888.HK,,2022-01-19T00:00:00Z,148.9,148.9
755,9888.HK,,2022-01-20T00:00:00Z,158.3,158.3
756,9888.HK,,2022-01-21T00:00:00Z,159.7,159.7
757,9888.HK,,2022-01-24T00:00:00Z,152.4,152.4
758,9888.HK,,2022-01-25T00:00:00Z,145.7,145.7
759,9888.HK,,2022-01-26T00:00:00Z,148.5,148.5
760,9888.HK,,2022-01-27T00:00:00Z,142.5,142.5
761,9888.HK,,2022-01-28T00:00:00Z,141.5,141.5
762,9888.HK,,2022-01-31T00:00:00Z,143.8,143.8
763,9888.HK,,2022-02-04T00:00:00Z,152.4,152.4
764,9888.HK,,2022-02-07T00:00:00Z,153.3,153.3
765,9888.HK,,2022-02-08T00:00:00Z,150.4,150.4
766,9888.HK,,2022-02-09T00:00:00Z,157.5,157.5
767,9888.HK,,2022-02-10T00:00:00Z,159.8,159.8
768,9888.HK,,2022-02-11T00:00:00Z,158.9,158.9
769,9888.HK,,2022-02-14T00:00:00Z,156.1,156.1
770,9888.HK,,2022-02-15T00:00:00Z,156.6,156.6
771,9888.HK,,2022-02-16T00:00:00Z,161.6,161.6
772,9888.HK,,2022-02-17T00:00:00Z,163.6,163.6
773,9888.HK,,2022-02-18T00:00:00Z,160.1,160.1
774,9888.HK,,2022-02-21T00:00:00Z,153.7,153.7
775,9888.HK,,2022-02-22T00:00:00Z,151.3,151.3
776,9888.HK,,2022-02-23T00:00:00Z,150.9,150.9
777,9888.HK,,2022-02-24T00:00:00Z,142.8,142.8
