Date,.CESIUSD,.MOVE,VIX,VXN NASDAQ,High Yield Spread,BKK Leading Index,CFNAI,Equity Vol Measure,St Louis Stress Index
2008-10-01,-71.4,207.2,59.89,60.3,16.17,1.923855775253922,-1.85,0.36627,8.40354
2008-11-01,-117.6,214.0,55.84,56.05,19.78,2.118979146150973,-3.26,0.30058,6.6377
2008-12-01,-112.6,190.0,40.0,40.79,18.12,1.8979686968523448,-3.85,0.17817,6.016675
2009-01-01,-69.2,162.9,44.84,44.93,16.22,1.5440179266682768,-4.34,0.17876,4.119059999999999
2009-02-01,-54.0,166.6,46.35,45.28,17.39,1.1839108071679028,-2.07,0.1925,3.83255
2009-03-01,-11.2,117.3,44.14,44.2,17.03,0.8850774077245501,-3.47,0.17958,3.775425
2009-04-01,31.4,124.2,36.5,36.64,13.45,0.6170428290388148,-2.53,0.27625,2.7803
2009-05-01,59.9,165.4,28.92,29.44,11.76,0.1203812260293742,-2.24,0.11837,1.74864
2009-06-01,44.7,162.5,26.35,26.69,10.55,-0.4232854991406716,-1.72,0.0,1.3341500000000002
2009-07-01,34.1,139.1,25.92,26.16,9.22,-0.7039228333776055,-0.27,0.10949,0.96618
2009-08-01,66.6,130.7,26.01,27.17,9.12,-0.9630902957749132,-0.65,0.10952,0.5902499999999999
2009-09-01,50.4,113.8,25.61,26.5,7.93,-1.1877666013994186,-0.55,0.20979,0.292675
2009-10-01,37.7,113.3,30.69,29.81,7.66,-1.3670315787866922,-0.81,0.31943,0.26378
2009-11-01,-21.4,86.1,24.51,24.73,7.65,-1.5144571931410906,-0.15,0.11493,0.158575
2009-12-01,8.3,102.6,21.68,21.65,6.39,-1.5819696925027174,-0.34,0.20215,-0.11085
2010-01-01,-0.3,88.8,24.62,25.8,6.46,-1.5034425478960567,0.04,0.35236,-0.22482
2010-02-01,20.1,81.2,19.5,19.78,6.66,-1.4693908249197571,-0.39,0.05547,-0.1257
2010-03-01,40.7,86.2,17.59,18.32,5.84,-1.412625041366706,0.49,0.05365,-0.44115
2010-04-01,20.3,79.9,22.05,22.06,5.61,-1.4197049160370327,0.34,0.05695,-0.403
2010-05-01,20.7,111.5,32.07,31.61,6.98,-1.4574540092883022,0.1,0.55079,0.658275
2010-06-01,-35.9,89.7,34.54,35.14,7.13,-1.5527432765822609,-0.54,0.3409,0.68665
2010-07-01,-37.4,78.8,23.5,24.52,6.57,-1.558937369362188,0.2,0.28986,0.4774
2010-08-01,-59.6,109.7,26.05,27.45,6.92,-1.4939920311690262,-0.53,0.31893,0.34975
2010-09-01,-8.3,85.6,23.7,24.96,6.26,-1.599798024549527,-0.31,0.15589,0.075625
2010-10-01,-4.8,98.7,21.2,22.24,5.82,-1.7915381429487562,-0.36,0.09925,-0.10378
2010-11-01,25.1,101.9,23.54,25.39,6.22,-1.9722302864482404,-0.2,0.51183,-0.114425
2010-12-01,6.5,111.3,17.75,19.48,5.41,-2.115088802501735,0.45,0.43904,-0.22626
2011-01-01,35.7,96.2,19.53,21.79,5.08,-2.263417375751231,0.17,0.34358,-0.33085
2011-02-01,74.5,90.5,18.35,20.55,4.78,-2.240066671967356,-0.23,0.21823,-0.336825
2011-03-01,50.3,91.8,17.74,19.74,4.77,-2.049145078026281,0.32,0.11747,-0.2064
2011-04-01,11.7,77.4,14.75,16.54,4.71,-1.8642568542517093,-0.45,0.22166,-0.4379799999999999
2011-05-01,-59.8,73.9,15.45,16.44,5.09,-1.6782040332872543,-0.37,0.23767,-0.344875
2011-06-01,-93.6,89.4,16.52,17.86,5.42,-1.5788963084638648,-0.46,0.11851,-0.1758
2011-07-01,-83.2,86.8,25.25,26.08,5.51,-1.4453481827941077,-0.06,0.33523,-0.2907
2011-08-01,-67.8,99.2,31.62,31.37,7.3,-1.311113831136006,-0.43,1.36789,0.733025
2011-09-01,-29.5,104.5,42.96,44.98,8.41,-1.1026315990775852,-0.22,0.38065,0.8538600000000001
2011-10-01,18.0,108.1,29.96,28.82,7.07,-0.8464674438572016,-0.13,0.48082,0.6762
2011-11-01,61.8,99.7,27.8,27.77,7.79,-0.6798219982872968,-0.37,0.18169,0.946125
2011-12-01,68.5,94.1,23.4,23.13,7.38,-0.5359511591984862,0.17,0.13511,0.6765000000000001
2012-01-01,65.4,72.1,19.44,19.89,6.61,-0.4207160204596874,0.22,0.60438,0.439575
2012-02-01,58.3,72.3,18.43,19.83,5.98,-0.3569204285104507,-0.09,0.21354,0.141
2012-03-01,24.2,75.2,15.5,17.19,5.95,-0.3918117323388268,-0.29,0.48967,-0.03112
2012-04-01,4.2,64.1,17.15,18.77,6.04,-0.3640808581562032,0.11,0.11767,0.072925
2012-05-01,-30.0,73.0,24.06,25.89,6.96,-0.3030388645562253,-0.45,0.1337,0.189375
2012-06-01,-60.9,77.7,17.08,18.65,6.36,-0.3163898223914178,-0.15,0.41068,0.22964
2012-07-01,-53.8,62.8,18.93,20.3,6.16,-0.3083687680366312,-0.13,0.58809,0.040075
2012-08-01,-3.4,74.0,17.47,18.35,5.98,-0.4218690904046058,-0.87,0.30882,-0.1488799999999999
2012-09-01,28.9,60.47342,15.73,17.01,5.72,-0.3831778325356919,0.0,0.0,-0.3718
2012-10-01,51.7,71.43392,18.6,20.33,5.63,-0.4257379291247138,-0.56,0.1119,-0.47985
2012-11-01,43.9,51.8,15.87,16.96,5.65,-0.4605681471398655,0.1,0.54412,-0.38948
2012-12-01,54.3,54.4,18.02,20.56,5.34,-0.4645944575648623,0.02,0.40792,-0.526925
2013-01-01,-27.9,62.4,14.28,14.83,4.95,-0.5006103377358017,-0.32,0.72831,-0.6536
2013-02-01,-29.8,55.8764745,15.51,16.3,4.98,-0.371383040359297,0.44,0.19654,-0.6154999999999999
2013-03-01,30.2,57.6686265,12.7,13.28,4.8,-0.2688057568505629,-0.23,0.21899,-0.66676
2013-04-01,-6.2,49.2,13.52,15.34,4.55,-0.1757364072598529,-0.53,0.25229,-0.628575
2013-05-01,-17.8,57.74,16.3,15.99,4.62,-0.1459179359204407,-0.3,0.0994,-0.60834
2013-06-01,-8.1,97.1,16.86,16.47,5.16,-0.1414194131182304,-0.13,0.24405,-0.100225
2013-07-01,4.0,99.0,13.45,14.25,4.71,-0.2362641930315115,-0.15,0.41934,-0.386825
2013-08-01,25.4,94.9,17.01,17.53,4.76,-0.2647569365536745,0.14,0.05156,-0.32646
2013-09-01,56.8,82.7,16.6,16.73,4.83,-0.3101642998991507,0.14,0.4001,-0.365675
2013-10-01,11.4,60.6,13.75,14.88,4.36,-0.4279702734853591,-0.18,1.0034,-0.46855
2013-11-01,0.0,67.8,13.7,13.93,4.23,-0.4392092098544864,0.6,0.39647,-0.5871000000000001
2013-12-01,52.2,70.5,13.72,15.44,4.0,-0.4661626776878421,0.16,0.1708,-0.572425
2014-01-01,52.0,,18.41,18.97,4.21,-0.4987984014926815,-0.39,0.34287,-0.5616399999999999
2014-02-01,-13.4,56.8,14.0,15.01,3.81,-0.4280176016102631,0.14,0.26646,-0.594375
2014-03-01,-31.7,58.34,13.88,18.12,3.77,-0.2337148383018391,0.2,0.11911,-0.631525
2014-04-01,-32.5,,13.41,17.68,3.71,-0.0841984166797971,-0.32,0.30609,-0.6419250000000001
2014-05-01,-2.9,55.2,11.4,13.77,3.75,0.0834586482439707,0.21,0.11696,-0.71994
2014-06-01,-3.2,53.25,11.57,12.21,3.53,0.2772123336894103,0.12,0.54557,-0.8175749999999999
2014-07-01,-5.2,56.4578,16.95,16.82,4.04,0.4115331766778897,0.39,0.17867,-0.732
2014-08-01,32.9,60.4894,11.98,12.71,3.8,0.5412045447451127,-0.21,0.05561,-0.62478
2014-09-01,20.8,61.3464,16.31,18.26,4.4,0.6297190479585225,0.47,0.0,-0.5254
2014-10-01,,69.55747,14.03,15.81,4.3,0.7248782507226371,0.14,0.12185,-0.2981
2014-11-01,6.2,66.5461,13.33,14.74,4.64,0.7710640311022294,0.73,0.12866,-0.416925
2014-12-01,31.5,70.0776,19.2,19.64,5.04,0.7792212394314241,-0.05,0.06081,-0.1992
2015-01-01,19.0,86.4,20.97,21.59,5.37,0.7641133480721933,0.13,0.74402,0.0116
2015-02-01,-47.1,98.5,13.34,14.62,4.43,0.6936693145097188,-0.11,0.12186,-0.250075
2015-03-01,-58.6,85.0,15.29,17.29,4.82,0.6410827872508582,-0.42,0.11623,-0.20215
2015-04-01,-66.8,71.60494,14.55,16.51,4.59,0.6415869877370699,-0.15,0.0,-0.344425
2015-05-01,-72.4,85.355,13.84,14.75,4.52,0.6560885756488787,-0.17,0.29142,-0.3177999999999999
2015-06-01,-38.0,83.324057,18.23,19.34,5.0,0.6702176691535008,0.08,0.11662,-0.243675
2015-07-01,-16.3,69.71283148,12.12,14.59,5.36,0.6570941326966676,0.34,0.21427,-0.1343
2015-08-01,-9.2,80.47075,28.43,29.92,5.7,0.6886133641448371,-0.41,1.23444,0.137625
2015-09-01,-27.5,,24.5,26.82,6.62,0.6766611727893567,-0.37,0.29327,0.242975
2015-10-01,-10.1,,15.07,17.3,5.88,0.7254020504067302,-0.04,0.13184,0.16394
2015-11-01,0.6,,16.13,18.1,6.4,0.686943599115547,-0.3,0.21094,0.023725
2015-12-01,-31.8,70.560387,18.21,19.63,6.95,0.7336498973068217,-0.22,0.22347,0.34805
2016-01-01,-45.7,74.0039,20.2,23.64,7.74,0.6631166771597083,0.28,0.50688,0.65334
2016-02-01,-44.8,83.3856,20.55,23.55,7.75,0.5351753073996556,-0.29,0.9174,0.7444
2016-03-01,-0.2,68.8027,13.95,16.85,7.05,0.4550482751029522,-0.44,0.34453,0.184725
2016-04-01,-27.8,64.921,15.7,19.3,6.24,0.4636575115270261,0.1,0.29223,0.15028
2016-05-01,-22.8,67.9149,14.19,15.25,5.97,0.3962433400381988,-0.51,0.29125,0.1089
2016-06-01,-16.0,72.6386,15.63,17.58,6.21,0.3525934488339269,0.16,0.38359,0.2547999999999999
2016-07-01,27.9,64.1468,11.87,13.97,5.61,0.275182246983722,0.27,0.44788,0.1846
2016-08-01,13.5,69.0806,13.42,15.34,5.1,0.1290225862566733,-0.55,0.30714,0.2392999999999999
2016-09-01,-1.4,60.556,13.29,15.45,4.97,0.007547151593501,-0.14,0.0,0.3247799999999999
2016-10-01,,65.465,17.06,19.32,4.91,-0.1200696593783396,-0.08,0.29737,0.131975
2016-11-01,5.6,80.9553,13.33,15.13,4.67,-0.2398105956131357,-0.27,0.11478,0.0606499999999999
2016-12-01,24.5,71.6297,14.04,16.68,4.21,-0.2875612027665629,0.14,0.69831,-0.13074
2017-01-01,39.8,72.5153,11.99,14.29,4.0,-0.4498016564890996,-0.05,0.41486,-0.1341999999999999
2017-02-01,42.4,70.8911,12.92,13.6,3.74,-0.4685248007915313,0.34,0.44212,-0.216525
2017-03-01,52.5,60.6987,12.37,11.75,3.92,-0.4197888658280986,0.08,0.6651,-0.37912
2017-04-01,7.1,60.1925,10.82,11.53,3.75,-0.5515610170941883,0.49,0.35497,-0.379925
2017-05-01,-38.9,53.9509,10.41,12.94,3.74,-0.6517740383985471,-0.26,0.38684,-0.575425
2017-06-01,-72.6,55.2201,11.18,17.61,3.77,-0.7516689842780827,0.13,0.0,-0.6335200000000001
2017-07-01,-44.4,48.1375,10.26,15.87,3.61,-0.9302304373393973,-0.01,0.2208,-0.659675
2017-08-01,-21.2,51.1311,10.59,14.33,3.85,-1.1076228350359385,-0.31,0.47176,-0.509275
2017-09-01,,52.8752,9.51,13.85,3.54,-1.1730494441411252,0.17,0.17242,-0.61198
2017-10-01,0.2,51.1485,10.18,15.06,3.51,-1.1993050679475226,0.65,0.08946,-0.7332
2017-11-01,59.4,46.8271,11.28,15.93,3.61,-1.2665818558562714,0.15,0.61453,-0.73925
2017-12-01,75.7,46.5962,11.04,15.68,3.58,-1.3476265429041134,0.27,0.81821,-0.66536
2018-01-01,37.5,57.1957,13.54,19.65,3.29,-1.4172268480590184,0.12,0.36036,-0.6696249999999999
2018-02-01,33.5,62.9735,19.85,22.01,3.47,-1.3422423717676355,0.88,0.49085,-0.259325
2018-03-01,48.7,58.5414,19.97,26.68,3.79,-1.3236135773281967,0.1,0.0,0.06454
2018-04-01,41.7,50.3548,15.93,21.06,3.46,-1.284032395894865,0.34,0.52005,0.0841
2018-05-01,9.8,60.5438,15.43,16.78,3.63,-1.2223197225826294,-0.15,0.38271,-0.1937249999999999
2018-06-01,,51.1681,16.09,20.88,3.61,-1.1027481651319069,0.43,0.79303,-0.20956
2018-07-01,,46.5038,12.83,19.17,3.46,-0.9821191815219728,0.13,0.5877,-0.419975
2018-08-01,-17.9,50.7097,12.86,16.04,3.49,-0.7764614753469172,0.18,0.338,-0.55174
2018-09-01,,46.1634,12.12,16.58,3.24,-0.5812883156675296,0.17,0.46224,-0.737075
2018-10-01,,60.1285,21.23,29.12,3.81,-0.3417702940731215,0.24,1.06977,-0.494325
2018-11-01,9.9,52.4322,18.07,24.02,4.29,-0.078329601041491,0.22,1.52087,-0.1738
2018-12-01,-16.2,66.5828,25.42,31.44,5.33,0.1794989284210688,0.27,1.9621,0.39485
2019-01-01,,49.8117,16.57,20.24,4.37,0.5500753610930074,-0.43,1.33096,-0.0525499999999999
2019-02-01,-18.3,47.2183,14.78,17.17,3.92,0.792961813921031,-0.29,0.1254,-0.339975
2019-03-01,-33.9,58.5478,13.71,16.62,3.99,1.0063330147724845,-0.15,0.88387,-0.51384
2019-04-01,-58.7,49.4711,13.12,16.6,3.73,1.0674000909610704,-0.45,1.088,-0.694225
2019-05-01,-33.1,72.681,18.71,23.23,4.59,1.0542585526299388,-0.05,0.75587,-0.42596
2019-06-01,-68.3,70.4339,15.08,19.76,4.07,0.9878096063697158,-0.02,1.10714,-0.34185
2019-07-01,-41.5,55.2468,16.12,18.78,3.93,0.879544136305251,-0.36,1.36189,-0.47055
2019-08-01,,86.8897,18.98,22.39,4.09,0.7370066040703179,0.1,3.95173,-0.0076999999999999
2019-09-01,43.0,77.2005,16.24,20.03,4.02,0.3662876747409584,-0.45,0.58535,-0.139925
2019-10-01,15.3,65.88,13.22,17.36,4.15,-0.056280967607997,-0.71,1.38185,0.0416
2019-11-01,,56.57,12.62,15.84,4.01,-0.6235763534008991,0.56,1.50018,-0.11888
2019-12-01,-10.3,58.28,13.78,16.89,3.6,-1.299164051571271,-0.35,2.04638,-0.24275
2020-01-01,,72.98,18.84,21.33,4.03,-1.958295979562673,-0.25,0.52741,-0.34192
2020-02-01,56.2,109.67,40.11,43.13,5.04,-2.5444597141076577,0.16,0.66969,-0.22165
2020-03-01,73.8,83.87,53.54,51.29,8.77,-3.427760534948677,-4.19,1.63731,3.901175
2020-04-01,-144.6,53.59,34.15,35.28,7.63,-4.243476987162463,-16.74,0.35154,2.4898
2020-05-01,-75.3,51.55,27.51,27.96,6.71,-1.960737692963495,2.61,0.20901,0.72516
2020-06-01,181.2,54.13,30.43,30.75,6.44,-0.6938721898646353,4.11,0.18618,0.272
2020-07-01,246.8,41.98,24.46,27.93,5.16,-0.0239045192092539,1.18,0.15555,0.0461599999999999
2020-08-01,210.8,47.02,26.41,34.55,5.02,0.4194728001932185,0.79,0.16303,-0.21325
2020-09-01,172.9,39.21,26.37,35.42,5.41,0.5027815498739802,0.27,0.30779,0.000275
2020-10-01,128.9,61.91,38.02,41.3,5.25,0.3473808043576777,0.83,0.3439,-0.01372
2020-11-01,80.0,40.84,20.57,26.68,4.33,0.0280942252907822,0.27,0.45887,-0.28565
2020-12-01,66.7,48.98,22.75,26.93,3.86,-0.2027650363643453,0.52,0.50881,-0.422725
2021-01-01,56.3,47.41,33.09,37.44,3.79,-0.3922237083540863,0.66,0.0,-0.4622799999999999
2021-02-01,85.0,75.66,27.95,34.06,3.52,-0.616343894112798,-1.09,0.0,-0.6197
2021-03-01,28.1,71.27,19.4,24.89,3.36,-0.3968651476060686,1.71,0.0,-0.530675
2021-04-01,38.7,58.13,18.61,22.9,3.28,-0.6458980195646077,0.24,0.16128,-0.7725
2021-05-01,,52.04,16.76,21.44,3.34,-0.7111031082907262,0.29,0.46012,-0.7775000000000001
2021-06-01,,57.27,15.83,20.14,3.04,-0.7435874133563629,0.09,0.0,-0.812125
2021-07-01,,61.19,18.24,20.81,3.26,-0.7744836477206375,0.53,0.12134,-0.74562
2021-08-01,-49.5,60.14,16.48,19.48,3.21,-0.8724917252194487,0.29,0.51687,-0.73915
2021-09-01,-60.5,61.07,23.14,26.65,3.15,-0.9720200917217356,-0.13,0.0,-0.68185
2021-10-01,-22.1,75.45,16.26,19.64,3.08,-1.0735317028317464,0.76,0.0,-0.75186
2021-11-01,32.0,84.04,27.19,27.39,3.67,-1.21483980111809,0.37,0.0,-0.6713
2021-12-01,,77.62,17.22,21.2,3.1,-1.4305316927174323,-0.15,0.0,-0.55718
2022-01-01,0.0001,85.14,24.83,30.16,3.63,-1.6517267537323237,0.69,0.0,-0.504625
2022-02-01,,93.34,30.15,32.72,3.77,-1.5701415045253788,0.51,0.0,-0.339075
2022-03-01,55.4,106.88,20.56,26.99,3.43,-1.4867737832387256,0.44,0.53604,-0.1435999999999999
2022-04-01,66.9,128.4,33.4,38.25,3.93,-1.3120861877955103,0.47,0.0,-0.2903799999999999
2022-05-01,-39.6,107.12,26.19,33.01,4.22,-1.2276835900757408,0.01,0.0,0.309975
2022-06-01,-66.9,135.5,28.71,36.21,5.87,-1.0100655948289652,-0.19,0.66283,0.01345
2022-07-01,-61.8,116.36,21.33,27.25,4.77,-0.5839832323862301,0.27,0.79661,0.10186
2022-08-01,,124.84,25.87,32.19,5.03,-0.235571832602384,0.0,0.21756,-0.385125
2022-09-01,-26.6,141.89,31.62,36.61,5.43,0.0590890723055761,0.1,0.36655,-0.0776999999999999
2022-10-01,,147.92,25.88,31.16,4.63,0.3653650926621579,-0.05,0.2898,-0.023575
2022-11-01,14.2,127.27,20.58,26.46,4.55,0.6598565707027402,-0.51,0.54907,-0.30345
2022-12-01,17.5,121.61,21.67,27.6,4.79,0.963354304422298,-0.49,0.0,-0.0163
2023-01-01,-15.2,99.54,19.4,25.79,4.3,1.2743190006038725,0.23,1.05738,-0.377
2023-02-01,,123.6,20.7,26.4,4.22,1.503876544091904,-0.19,0.0,-0.480275
2023-03-01,59.2,141.24,18.7,23.6,4.58,1.621527111135146,-0.19,0.1677,0.09972
2023-04-01,28.4,122.46,15.78,20.12,4.5,1.6967534834287847,0.07,0.15942,-0.3902249999999999
2023-05-01,,136.02,17.94,22.12,4.69,1.6929957075995294,-0.15,0.16999,-0.41285
2023-06-01,,110.64,13.59,19.55,4.05,1.6003324374176422,-0.32,0.19217,-0.6159399999999999
2023-07-01,79.6,112.03,13.63,19.32,3.79,1.4719707319641746,0.12,0.34819,-0.7368
2023-08-01,74.4,107.93,13.57,18.74,3.85,1.3486647437324175,-0.16,0.0,-0.67655
2023-09-01,62.2,115.24,17.52,21.28,4.03,1.3265753174675723,0.02,0.3764,-0.6721
2023-10-01,59.7,126.86,18.14,22.46,4.42,1.332209888083176,-0.49,0.0,-0.418725
2023-11-01,,115.32,12.92,16.72,3.84,1.404350632102479,0.03,0.0,-0.6711750000000001
2023-12-01,,114.62,12.45,16.2,3.34,1.4402577670101715,-0.15,0.0,-0.49334
2024-01-01,,107.28,14.35,18.25,3.59,1.3954331812879728,-0.3,0.53117,-0.72705
2024-02-01,47.2,108.71,13.4,17.21,3.29,1.3953747115132644,0.05,0.0,-0.66905
2024-03-01,,86.38,13.01,16.66,3.12,1.3133343767570131,0.15,0.0,-0.87454
2024-04-01,,107.46,15.65,18.43,3.18,1.3193373817553409,-0.23,0.0,-0.72965
2024-05-01,,91.09,12.92,16.7,3.2,1.2932695555948448,0.18,0.0,-0.8943999999999999
2024-06-01,,98.59,12.44,16.24,3.18,1.196716500304749,0.05,0.0,-0.84025
2024-07-01,,99.41,16.36,22.29,3.25,1.134123074476454,-0.34,0.0,-0.733
2024-08-01,,107.77,15.0,19.29,3.13,0.9766838174303824,0.12,0.31524,-0.50322
2024-09-01,,94.61,16.73,20.19,3.03,0.7521211482266318,-0.28,0.0,-0.3515
2024-10-01,,135.18,23.16,24.86,2.88,0.5653408538503026,-0.4,0.0,-0.5342
2024-11-01,,95.22,13.51,16.07,2.72,0.3453559415019491,-0.12,0.19479,-0.57756
2024-12-01,19.3,96.95,17.35,19.92,2.92,0.146273759147301,0.15,0.0,-0.56305
2025-01-01,9.4,90.54,16.43,20.11,2.68,-0.1351835221226846,-0.03,0.18497,-0.8032
2025-02-01,,104.46,19.63,22.66,2.87,-0.288261602316025,0.18,0.0,-0.7101999999999999
2025-03-01,,101.35,22.28,25.37,3.55,-0.2631352721612954,-0.03,1.05229,-0.467075
2025-04-01,-0.4,112.27,24.7,27.8,3.94,,,,
2025-05-01,,98.66,21.9,25.5,3.53,,,,
