,value,Unemployment Rate,Inflation Rate,Number of Car Sales,Electricity Price CPI in US Cities
2014-10,1009.0,5.7,2.0,16.756,209.188
2014-11,1028.0,5.8,1.98,16.949,208.605
2014-12,1089.0,5.6,1.97,17.178,210.158
2015-01,1065.0,5.7,1.98,16.91,210.956
2015-02,897.0,5.5,1.98,16.891,211.775
2015-03,926.0,5.4,2.0,17.896,210.178
2015-04,1135.0,5.4,2.07,17.693,210.345
2015-05,1036.0,5.6,2.05,17.929,208.447
2015-06,1174.0,5.3,2.11,17.889,209.41
2015-07,1206.0,5.2,2.14,18.318,208.761
2015-08,1126.0,5.1,2.18,18.391,208.619
2015-09,1206.0,5.0,2.29,18.281,208.449
2015-10,1060.0,5.0,2.35,18.27,208.015
2015-11,1173.0,5.1,2.42,18.314,207.902
2015-12,1149.0,5.0,2.45,17.503,207.269
2016-01,1099.0,4.8,2.49,18.054,206.088
2016-02,1178.0,4.9,2.56,18.096,205.294
2016-03,1089.0,5.0,2.53,17.291,205.707
2016-04,1172.0,5.1,2.51,17.669,205.655
2016-05,1164.0,4.8,2.57,17.695,206.053
2016-06,1189.0,4.9,2.56,17.735,206.255
2016-07,1211.0,4.8,2.57,18.109,207.015
2016-08,1142.0,4.9,2.72,17.927,207.546
2016-09,1047.0,5.0,2.64,17.956,209.026
2016-10,1323.0,4.9,2.51,17.954,208.519
2016-11,1090.0,4.7,2.54,17.792,208.136
2016-12,1226.0,4.7,2.62,18.277,208.253
2017-01,1246.0,4.7,2.66142,17.652,208.295
2017-02,1288.0,4.6,2.67,17.699,209.049
2017-03,1215.0,4.4,2.46,17.061,208.767
2017-04,1172.0,4.4,2.25,17.166,210.37
2017-05,1092.0,4.4,2.14,17.081,211.342
2017-06,1215.0,4.3,2.13,17.13,212.198
2017-07,1155.0,4.3,2.15,17.237,212.955
2017-08,1180.0,4.4,2.1,17.051,212.935
2017-09,1127.0,4.3,2.11,18.313,213.083
2017-10,1290.0,4.2,2.2,18.482,212.221
2017-11,1297.0,4.2,2.11,18.003,212.79
2017-12,1192.0,4.1,2.12,17.887,213.172
2018-01,1326.0,4.0,2.16,17.176,213.085
2018-02,1236.0,4.1,2.1,17.447,213.217
2018-03,1319.0,4.0,2.36,17.662,213.155
2018-04,1287.0,4.0,2.48,17.584,212.516
2018-05,1350.0,3.8,2.5,17.829,213.255
2018-06,1173.0,4.0,2.544973612,17.743,212.666
2018-07,1168.0,3.8,2.53502965,17.629,211.849
2018-08,1282.0,3.8,2.447636604,17.564,212.475
2018-09,1201.0,3.7,2.485933065,17.776,211.321
2018-10,1228.0,3.8,2.435344696,17.991,213.229
2018-11,1256.0,3.8,2.471812487,18.061,213.474
2018-12,1078.0,3.9,2.450837851,18.077,215.382
2019-01,1230.0,4.0,2.372944377,16.97,213.26
2019-02,1162.0,3.8,2.366289854,16.962,212.819
2019-03,1139.0,3.8,2.38662529,17.842,213.384
2019-04,1235.0,3.7,2.401961327,16.968,213.25
2019-05,1269.0,3.6,2.392650843,17.967,213.023
2019-06,1253.0,3.6,2.429260969,17.781,212.802
2019-07,1191.0,3.7,2.485508204,17.682,213.643
2019-08,1364.0,3.6,2.649070263,17.882,213.247
2019-09,1256.0,3.5,2.620969772,17.72,213.783
2019-10,1314.0,3.6,2.743960619,17.049,213.744
2019-11,1365.0,3.6,2.766961575,17.549,213.952
2019-12,1608.0,3.6,2.741363049,17.491,213.571
2020-01,1567.0,3.6,2.782228231,16.893,213.531
2020-02,1599.0,3.5,2.791280746,17.088,213.846
2020-03,1216.0,4.4,2.615577936,11.836,213.452
2020-04,891.0,14.8,2.209979773,8.944,213.621
2020-05,974.0,13.2,2.068979263,12.508,213.017
2020-06,1186.0,11.0,2.05925669,13.47,213.67
2020-07,1496.0,10.2,2.364593267,15.225,214.058
2020-08,1416.0,8.4,2.305275546,15.932,213.671
2020-09,1415.0,7.8,2.086199999,16.739,215.381
2020-10,1530.0,6.9,1.85084422,16.613,216.297
2020-11,1547.0,6.7,1.793808384,16.352,217.463
2020-12,1669.0,6.7,1.703221321,16.972,217.938
2021-01,1580.0,6.4,1.4932401,16.697,216.253
2021-02,1421.0,6.2,1.5015,16.124,218.566
2021-03,1739.0,6.1,1.672912096,18.496,218.315
2021-04,1569.0,6.1,2.272549403,18.697,221.06
2021-05,1572.0,5.8,2.615970373,17.466,222.132
2021-06,1643.0,5.9,2.604897976,15.903,222.204
2021-07,1534.0,5.4,2.351936102,15.207,223.118
2021-08,1615.0,5.1,2.370704651,13.765,225.298
2021-09,1555.0,4.7,2.66236186,12.722,226.771
2021-10,1520.0,4.5,3.053376436,13.181,230.41
2021-11,1679.0,4.2,3.225568295,13.484,231.52
2021-12,1702.0,3.9,3.497933626,13.166,231.784
2022-01,1638.0,4.0,3.982987642,14.866,238.667
2022-02,1769.0,3.8,4.297857761,14.168,237.871
2022-03,1793.0,3.7,4.551814556,14.253,242.119
2022-04,1724.0,3.7,4.723537922,14.681,245.245
2022-05,1549.0,3.6,4.975575447,13.286,248.892
2022-06,1559.0,3.6,5.425963402,13.669,252.908
2022-07,1446.0,3.5,5.629465103,13.867,257.585
2022-08,1575.0,3.6,5.990544319,14.064,261.259
2022-09,1439.0,3.5,6.393735409,14.136,262.139
2022-10,1425.0,3.6,6.367826462,15.091,262.987
2022-11,1427.0,3.6,6.475764355,14.733,263.424
2022-12,1382.0,3.5,6.606693265,13.935,264.984
2023-01,1309.0,3.5,6.554492474,15.665,266.436
2023-02,1450.0,3.6,6.59375,15.434,268.143
2023-03,1420.0,3.5,6.451708317,15.668,266.241
2023-04,1401.0,3.4,6.322748661,16.446,265.746
2023-05,1631.0,3.6,6.000605583,15.948,263.74
2023-06,1434.0,3.6,5.62652874,16.428,266.708
2023-07,1452.0,3.5,5.45608902,16.302,265.743
2023-08,1283.0,3.7,5.217342854,15.909,267.085
2023-09,1358.0,3.8,5.008782387,16.193,269.181
2023-10,1372.0,3.9,4.931955814,15.805,269.276
2023-11,1560.0,3.7,4.730629444,15.939,272.421
2023-12,1460.0,3.8,4.584186077,16.385,273.758
2024-01,1331.0,3.7,4.603922367,15.536,276.142
2024-02,1521.0,3.9,4.403102398,16.177,277.359
2024-03,1321.0,3.9,4.509212494,16.136,279.087
2024-04,1360.0,3.9,4.412394524,16.529,279.204
2024-05,1277.0,4.0,4.302023411,16.309,279.348
2024-06,1353.0,4.1,4.226875782,15.433,278.522
2024-07,1238.0,4.2,4.164950848,16.347,278.961
2024-08,1356.0,4.2,4.103705883,15.638,277.809
2024-09,1354.0,4.1,4.010873318,16.275,279.313
2024-10,1311.0,4.1,3.965451002,16.581,281.516
2024-11,1289.0,4.2,3.874545574,17.15,280.88
2024-12,1499.0,4.1,3.750003815,17.323,281.432
2025-01,1366.0,4.0,3.625276327,16.026,281.323
2025-02,1501.0,4.1,3.516515255,16.397,284.195
2025-03,1324.0,4.2,3.257815123,18.281,286.861
